ID,municipality,trust_police,govt_responsive,ideology,govt_pride,self_efficacy_political,trust_military,trust_supreme_court,support_political_system
respondent_52,municipality_063,7,7,10,7,4,6,7,7
respondent_53,municipality_021,7,7,1,1,1,7,7,4
respondent_54,municipality_061,3,3,3,3,3,5,3,3
respondent_55,municipality_087,5,1,8,5,3,4,6,5
respondent_56,municipality_075,7,6,8,1,4,3,4,1
respondent_57,municipality_041,3,1,5,1,2,3,1,3
respondent_58,municipality_063,6,3,4,1,2,6,4,3
respondent_59,municipality_099,7,4,10,5,1,7,7,6
respondent_60,municipality_023,7,1,4,4,4,7,7,4
respondent_61,municipality_028,7,7,3,2,4,1,1,1
respondent_62,municipality_063,5,4,8,4,3,5,5,4
respondent_63,municipality_040,6,5,1,6,4,7,5,6
respondent_64,municipality_095,2,1,10,1,4,1,1,1
respondent_65,municipality_010,7,4,4,1,4,6,1,5
respondent_66,municipality_023,4,1,1,2,3,6,6,2
respondent_67,municipality_079,4,3,10,3,3,4,5,5
respondent_68,municipality_028,7,7,3,2,4,1,1,1
respondent_69,municipality_059,2,1,3,1,2,7,5,1
respondent_70,municipality_088,5,1,10,1,3,7,2,6
respondent_71,municipality_029,5,5,7,3,3,5,5,3
respondent_72,municipality_009,1,1,1,1,4,1,1,1
respondent_73,municipality_101,2,1,6,1,3,6,4,2
respondent_74,municipality_042,1,1,8,1,4,7,1,1
respondent_75,municipality_093,7,1,6,6,4,7,5,5
respondent_76,municipality_085,7,6,8,3,3,7,1,7
respondent_77,municipality_034,7,6,2,3,3,7,7,6
respondent_78,municipality_031,7,2,8,5,1,6,5,4
respondent_79,municipality_063,3,3,8,2,3,4,4,4
respondent_80,municipality_082,4,3,5,1,3,4,3,1
respondent_81,municipality_086,1,4,1,1,4,1,1,1
respondent_82,municipality_069,7,1,10,7,3,7,6,6
respondent_83,municipality_007,6,4,3,4,3,6,4,4
respondent_84,municipality_028,6,1,4,2,4,5,4,6
respondent_85,municipality_042,7,4,8,7,4,7,7,2
respondent_86,municipality_075,7,1,6,3,2,7,4,5
respondent_87,municipality_041,3,1,5,1,2,3,1,3
respondent_88,municipality_047,7,2,7,6,4,7,4,6
respondent_89,municipality_063,7,2,10,5,3,7,7,6
respondent_90,municipality_063,5,4,8,5,3,7,4,6
respondent_91,municipality_050,7,7,10,7,2,7,1,7
respondent_92,municipality_005,6,1,1,5,4,7,7,1
respondent_93,municipality_015,7,4,5,3,3,7,7,4
respondent_94,municipality_007,5,2,3,3,4,2,5,2
respondent_95,municipality_079,6,4,7,5,3,6,7,5
respondent_96,municipality_010,1,1,1,1,4,6,4,1
respondent_97,municipality_070,7,4,1,3,4,5,5,3
respondent_98,municipality_073,5,3,10,5,4,7,5,7
respondent_99,municipality_008,7,1,6,2,4,7,5,7
respondent_100,municipality_072,7,2,8,5,3,6,4,4
respondent_101,municipality_072,1,2,3,1,4,4,5,3
respondent_102,municipality_103,1,1,6,1,3,2,1,1
respondent_103,municipality_053,7,7,10,7,1,7,7,7
respondent_104,municipality_009,7,7,10,7,4,1,6,5
respondent_105,municipality_063,6,4,10,4,2,7,5,5
respondent_106,municipality_003,5,5,8,2,4,6,6,4
respondent_107,municipality_080,7,5,10,1,3,7,3,5
respondent_108,municipality_024,4,5,5,1,3,7,4,1
respondent_109,municipality_043,7,5,5,6,4,1,6,3
respondent_110,municipality_038,6,2,1,2,3,7,7,6
respondent_111,municipality_028,7,7,3,2,4,1,1,1
respondent_112,municipality_041,5,7,4,1,3,7,2,1
respondent_113,municipality_015,7,7,9,4,1,7,7,6
respondent_114,municipality_050,3,4,8,4,3,6,5,5
respondent_115,municipality_086,2,2,3,3,4,1,2,4
respondent_116,municipality_078,7,5,8,3,3,7,3,5
respondent_117,municipality_069,4,2,5,3,3,2,4,2
respondent_118,municipality_104,6,5,3,3,3,2,5,5
respondent_119,municipality_065,5,4,10,1,3,4,4,4
respondent_120,municipality_016,7,6,4,7,3,7,7,7
respondent_121,municipality_063,3,2,6,4,4,1,1,2
respondent_122,municipality_063,1,2,7,1,3,3,4,1
respondent_123,municipality_074,4,7,2,1,3,3,3,1
respondent_124,municipality_101,3,4,10,2,3,3,5,6
respondent_125,municipality_097,5,5,5,6,2,6,6,5
respondent_126,municipality_063,1,1,1,1,4,1,1,1
respondent_127,municipality_099,3,1,5,2,3,7,4,6
respondent_128,municipality_096,7,5,9,1,4,1,1,7
respondent_129,municipality_081,6,2,5,3,4,6,4,4
respondent_130,municipality_023,7,1,4,4,4,7,7,4
respondent_131,municipality_062,7,5,4,7,3,7,7,7
respondent_132,municipality_065,7,4,10,5,4,7,5,6
respondent_133,municipality_057,1,3,3,1,4,1,4,3
respondent_134,municipality_018,2,1,10,1,3,3,3,2
respondent_135,municipality_002,1,1,1,7,3,7,7,7
respondent_136,municipality_046,7,5,10,1,4,7,7,5
respondent_137,municipality_062,5,5,4,2,3,4,2,2
respondent_138,municipality_079,6,3,8,1,4,6,1,7
respondent_139,municipality_006,4,5,4,4,1,7,5,5
respondent_140,municipality_035,7,1,6,2,4,5,2,4
respondent_141,municipality_079,4,1,5,1,4,4,3,1
respondent_142,municipality_075,7,2,8,1,3,7,1,1
respondent_143,municipality_072,7,2,8,5,3,6,4,4
respondent_144,municipality_091,1,1,1,1,4,1,1,1
respondent_145,municipality_078,5,6,10,7,3,5,1,5
respondent_146,municipality_023,7,1,10,7,3,7,7,6
respondent_147,municipality_095,2,1,10,1,4,1,1,1
respondent_148,municipality_042,6,5,3,6,4,7,6,7
respondent_149,municipality_063,7,6,1,1,4,7,1,1
respondent_150,municipality_099,7,4,10,5,1,7,7,6
respondent_151,municipality_084,1,5,5,1,4,3,3,1
respondent_152,municipality_045,5,3,4,5,3,6,6,5
respondent_153,municipality_060,6,6,8,4,3,3,4,6
respondent_154,municipality_062,7,5,8,6,1,7,6,7
respondent_155,municipality_034,5,4,10,2,3,7,1,6
respondent_156,municipality_093,4,1,5,1,1,3,1,1
respondent_157,municipality_002,4,3,6,3,3,6,4,4
respondent_158,municipality_095,3,5,5,1,3,4,3,1
respondent_159,municipality_086,2,1,8,2,4,3,1,3
respondent_160,municipality_053,7,7,10,7,1,7,7,7
respondent_161,municipality_036,6,7,10,4,2,6,6,6
respondent_162,municipality_071,5,5,5,1,4,7,4,1
respondent_163,municipality_032,6,4,8,1,4,7,3,1
respondent_164,municipality_035,4,1,1,1,4,4,3,2
respondent_165,municipality_063,3,2,9,2,2,5,2,4
respondent_166,municipality_062,2,7,10,1,4,7,6,4
respondent_167,municipality_092,6,4,6,4,3,5,3,5
respondent_168,municipality_048,6,3,7,1,4,7,4,2
respondent_169,municipality_085,7,5,9,6,3,7,5,2
respondent_170,municipality_081,5,4,4,4,3,7,2,3
respondent_171,municipality_095,7,5,10,2,4,7,1,2
respondent_172,municipality_061,3,3,3,3,3,5,3,3
respondent_173,municipality_010,4,1,2,5,4,7,5,3
respondent_174,municipality_017,7,5,8,1,4,5,4,2
respondent_175,municipality_096,1,7,9,4,3,7,5,6
respondent_176,municipality_095,1,2,6,1,3,1,1,5
respondent_177,municipality_068,2,4,2,1,3,5,3,3
respondent_178,municipality_064,5,7,1,1,1,3,7,2
respondent_179,municipality_105,7,5,9,6,3,7,7,5
respondent_180,municipality_069,5,6,2,7,3,1,1,6
respondent_181,municipality_102,7,1,10,1,2,7,1,4
respondent_182,municipality_105,7,5,9,6,3,7,7,5
respondent_183,municipality_080,7,3,1,1,3,7,7,1
respondent_184,municipality_035,7,4,1,7,1,7,7,7
respondent_185,municipality_003,3,3,5,3,3,5,3,3
respondent_186,municipality_042,3,1,4,2,3,5,4,4
respondent_187,municipality_018,1,1,5,4,3,4,4,2
respondent_188,municipality_052,3,4,3,4,4,6,4,3
respondent_189,municipality_097,5,5,5,6,2,6,6,5
respondent_190,municipality_059,1,1,5,1,4,5,4,2
respondent_191,municipality_037,4,3,7,5,1,5,3,6
respondent_192,municipality_063,2,1,3,1,3,1,1,1
respondent_193,municipality_009,3,1,5,1,2,4,3,1
respondent_194,municipality_002,5,2,3,2,4,7,3,3
respondent_195,municipality_030,7,6,10,5,3,7,4,7
respondent_196,municipality_035,6,3,5,6,3,1,3,6
respondent_197,municipality_028,7,5,3,6,4,7,6,6
respondent_198,municipality_024,4,1,5,3,4,3,1,1
respondent_199,municipality_004,5,2,7,3,3,6,5,4
respondent_200,municipality_067,3,1,8,2,3,7,5,2
respondent_201,municipality_060,7,7,1,7,3,7,7,1
respondent_202,municipality_071,5,5,7,5,4,7,6,6
respondent_203,municipality_002,5,4,8,5,3,5,4,6
respondent_204,municipality_051,3,3,8,3,4,7,4,1
respondent_205,municipality_047,7,7,1,7,1,7,7,7
respondent_206,municipality_032,5,3,10,2,4,6,4,2
respondent_207,municipality_095,7,4,9,7,1,7,6,7
respondent_208,municipality_103,6,3,8,7,3,7,5,7
respondent_209,municipality_066,6,3,5,1,4,7,5,1
respondent_210,municipality_065,1,5,10,6,4,7,4,4
respondent_211,municipality_039,3,3,3,3,3,3,4,4
respondent_212,municipality_069,6,3,5,1,4,5,4,2
respondent_213,municipality_083,7,6,6,7,1,7,7,6
respondent_214,municipality_008,3,1,3,1,2,3,3,1
respondent_215,municipality_086,4,3,9,4,4,7,4,3
respondent_216,municipality_010,4,1,2,5,4,7,5,3
respondent_217,municipality_003,3,2,5,1,4,3,3,3
respondent_218,municipality_049,6,3,2,2,3,7,4,4
respondent_219,municipality_062,2,2,3,1,3,5,5,3
respondent_220,municipality_008,1,3,5,5,4,1,1,5
respondent_221,municipality_053,5,4,5,4,4,5,4,4
respondent_222,municipality_034,1,6,1,1,1,1,1,2
respondent_223,municipality_095,1,2,6,1,3,1,1,5
respondent_224,municipality_005,4,4,6,5,4,6,7,7
respondent_225,municipality_017,2,6,9,2,3,7,6,6
respondent_226,municipality_101,3,4,10,2,3,3,5,6
respondent_227,municipality_043,7,2,9,4,4,7,7,7
respondent_228,municipality_090,2,3,3,2,3,4,2,2
respondent_229,municipality_092,5,5,8,3,2,7,6,4
respondent_230,municipality_080,2,5,10,7,4,2,2,6
respondent_231,municipality_095,1,1,3,1,4,1,3,2
respondent_232,municipality_074,1,2,5,1,3,2,7,1
respondent_233,municipality_064,5,3,5,2,3,7,5,3
respondent_234,municipality_103,7,5,5,3,4,5,5,5
respondent_235,municipality_004,3,5,7,3,2,2,3,3
respondent_236,municipality_042,1,1,8,1,4,7,1,1
respondent_237,municipality_014,4,1,3,3,3,5,4,2
respondent_238,municipality_036,2,7,7,2,3,5,5,2
respondent_239,municipality_023,4,1,1,2,3,6,6,2
respondent_240,municipality_012,4,1,5,1,2,1,1,2
respondent_241,municipality_012,7,3,8,4,4,6,6,4
respondent_242,municipality_063,1,1,1,1,4,1,1,1
respondent_243,municipality_070,5,2,5,3,4,5,6,3
respondent_244,municipality_075,5,4,8,3,4,7,7,7
respondent_245,municipality_022,5,2,8,4,4,6,6,5
respondent_246,municipality_033,4,2,5,4,4,6,6,3
respondent_247,municipality_059,1,1,4,1,3,6,2,3
respondent_248,municipality_018,6,4,10,5,2,7,6,5
respondent_249,municipality_077,5,2,2,1,3,5,3,2
respondent_250,municipality_068,7,7,5,1,3,7,1,3
respondent_251,municipality_079,7,3,2,5,3,7,7,5
respondent_252,municipality_105,5,4,7,3,3,7,2,2
respondent_253,municipality_031,4,3,7,4,2,6,6,5
respondent_254,municipality_048,5,2,6,4,4,5,5,4
respondent_255,municipality_053,7,2,5,4,3,7,7,5
respondent_256,municipality_019,6,2,2,1,3,3,3,3
respondent_257,municipality_078,7,1,3,2,4,1,3,3
respondent_258,municipality_037,5,2,2,1,1,6,6,1
respondent_259,municipality_003,5,4,4,3,4,5,6,6
respondent_260,municipality_023,3,5,4,1,2,6,7,3
respondent_261,municipality_065,3,1,5,4,2,6,4,6
respondent_262,municipality_033,1,2,5,2,3,1,1,1
respondent_263,municipality_063,3,2,9,2,2,5,2,4
respondent_264,municipality_081,2,1,9,3,1,1,4,2
respondent_265,municipality_020,1,4,10,3,4,5,4,4
respondent_266,municipality_098,5,4,1,4,4,5,4,5
respondent_267,municipality_106,5,4,6,4,3,5,4,7
respondent_268,municipality_095,3,3,3,1,3,2,1,1
respondent_269,municipality_086,2,1,8,2,4,3,1,3
respondent_270,municipality_007,5,5,10,2,3,5,6,3
respondent_271,municipality_052,7,1,9,1,3,7,7,5
respondent_272,municipality_107,6,5,7,6,3,6,6,5
respondent_273,municipality_063,4,3,3,3,3,5,3,3
respondent_274,municipality_076,1,1,3,1,3,1,1,1
respondent_275,municipality_033,5,3,9,3,3,6,4,3
respondent_276,municipality_023,1,5,1,1,3,4,3,4
respondent_277,municipality_058,1,1,10,1,4,7,1,1
respondent_278,municipality_053,2,1,10,3,3,7,3,1
respondent_279,municipality_091,5,4,1,5,3,7,5,6
respondent_280,municipality_069,4,4,6,1,3,6,4,5
respondent_281,municipality_024,5,2,3,1,3,4,5,7
respondent_282,municipality_015,5,5,8,3,3,5,6,5
respondent_283,municipality_070,2,2,1,2,3,1,2,3
respondent_284,municipality_047,7,7,1,7,1,7,7,7
respondent_285,municipality_015,5,5,8,3,3,5,6,5
respondent_286,municipality_050,3,1,7,5,3,6,4,5
respondent_287,municipality_033,7,6,4,7,4,7,5,6
respondent_288,municipality_082,1,1,5,3,3,1,1,1
respondent_289,municipality_086,6,2,5,4,4,4,5,3
respondent_290,municipality_034,5,4,10,2,3,7,1,6
respondent_291,municipality_063,4,4,8,3,3,4,4,4
respondent_292,municipality_086,4,4,8,2,3,5,4,3
respondent_293,municipality_097,5,4,6,5,4,7,4,5
respondent_294,municipality_006,3,3,6,3,3,4,2,3
respondent_295,municipality_072,4,4,4,1,4,6,4,1
respondent_296,municipality_054,5,5,3,4,4,5,6,6
respondent_297,municipality_103,3,1,5,4,1,5,1,2
respondent_298,municipality_063,1,1,1,1,4,3,2,1
respondent_299,municipality_011,5,1,3,1,4,4,6,2
respondent_300,municipality_014,3,1,10,1,4,7,6,2
respondent_301,municipality_016,7,6,4,7,3,7,7,7
respondent_302,municipality_069,4,2,5,3,3,2,4,2
respondent_303,municipality_082,5,6,5,5,4,5,5,5
respondent_304,municipality_094,3,5,8,2,3,7,6,5
respondent_305,municipality_095,2,1,5,1,2,3,1,1
respondent_306,municipality_063,4,1,10,1,1,5,2,2
respondent_307,municipality_024,4,1,5,3,4,3,1,1
respondent_308,municipality_049,6,5,3,4,1,1,5,7
respondent_309,municipality_001,5,3,1,2,3,6,4,3
respondent_310,municipality_019,6,2,2,1,3,3,3,3
respondent_311,municipality_024,6,5,6,2,2,5,4,2
respondent_312,municipality_064,5,7,1,1,1,3,7,2
respondent_313,municipality_011,4,3,4,1,4,6,2,3
respondent_314,municipality_086,2,2,3,3,4,1,2,4
respondent_315,municipality_056,3,3,9,2,3,7,7,4
respondent_316,municipality_034,5,3,6,1,3,7,5,4
respondent_317,municipality_072,1,2,3,1,4,4,5,3
respondent_318,municipality_082,3,3,5,1,1,2,2,1
respondent_319,municipality_047,3,3,3,5,4,4,5,5
respondent_320,municipality_028,6,4,6,4,1,7,7,5
respondent_321,municipality_037,4,3,7,5,1,5,3,6
respondent_322,municipality_054,3,2,8,7,1,7,7,7
respondent_323,municipality_058,5,1,5,1,4,5,3,3
respondent_324,municipality_051,1,7,1,1,3,7,7,7
respondent_325,municipality_007,4,4,10,3,1,7,1,3
respondent_326,municipality_089,5,2,1,2,2,5,2,7
respondent_327,municipality_002,2,5,6,5,3,3,6,4
respondent_328,municipality_044,7,3,10,5,3,7,5,5
respondent_329,municipality_085,3,5,7,6,4,5,5,4
respondent_330,municipality_044,3,4,7,1,4,2,1,1
respondent_331,municipality_025,7,1,10,7,4,7,7,3
respondent_332,municipality_066,7,5,5,1,4,7,1,3
respondent_333,municipality_018,2,3,10,2,4,3,1,2
respondent_334,municipality_103,2,2,6,1,4,3,2,1
respondent_335,municipality_033,7,3,7,2,2,7,4,7
respondent_336,municipality_005,4,3,6,3,3,4,4,5
respondent_337,municipality_095,5,4,1,2,3,5,3,3
respondent_338,municipality_105,5,4,7,3,3,7,2,2
respondent_339,municipality_103,3,4,5,1,3,2,1,1
respondent_340,municipality_096,6,4,10,5,3,7,5,4
respondent_341,municipality_095,6,5,8,2,4,6,5,4
respondent_342,municipality_013,4,4,1,2,3,5,5,2
respondent_343,municipality_087,7,3,10,4,3,7,4,6
respondent_344,municipality_051,3,3,8,3,4,7,4,1
respondent_345,municipality_064,4,1,8,3,3,5,4,4
respondent_346,municipality_016,1,1,7,1,3,1,2,1
respondent_347,municipality_063,4,4,7,4,4,4,3,5
respondent_348,municipality_065,1,5,10,6,4,7,4,4
respondent_349,municipality_023,1,5,1,1,3,4,3,4
respondent_350,municipality_023,3,5,4,1,2,6,7,3
respondent_351,municipality_030,3,4,10,5,3,6,5,2
respondent_352,municipality_018,1,1,5,4,3,4,4,2
respondent_353,municipality_063,3,2,6,4,4,1,1,2
respondent_354,municipality_039,1,1,8,1,3,5,5,1
respondent_355,municipality_053,2,1,5,1,2,5,2,2
respondent_356,municipality_078,7,5,8,3,3,7,3,5
respondent_357,municipality_078,3,2,3,1,4,5,4,4
respondent_358,municipality_075,6,7,6,1,4,7,6,5
respondent_359,municipality_004,5,2,7,3,3,6,5,4
respondent_360,municipality_066,5,5,6,3,4,7,4,2
respondent_361,municipality_090,6,1,8,1,3,5,3,1
respondent_362,municipality_030,3,3,5,3,4,4,4,3
respondent_363,municipality_047,6,4,10,6,3,7,6,7
respondent_364,municipality_032,6,5,7,5,3,6,6,5
respondent_365,municipality_074,3,1,8,7,1,5,5,7
respondent_366,municipality_032,4,4,6,3,3,6,4,4
respondent_367,municipality_063,7,3,4,3,3,5,1,1
respondent_368,municipality_086,6,2,5,4,4,4,5,3
respondent_369,municipality_039,5,2,3,2,2,6,1,2
respondent_370,municipality_012,3,7,5,3,1,5,3,3
respondent_371,municipality_077,4,2,3,2,3,4,2,5
respondent_372,municipality_057,3,1,2,1,4,4,2,2
respondent_373,municipality_023,3,3,5,2,4,6,7,2
respondent_374,municipality_082,3,3,5,1,1,2,2,1
respondent_375,municipality_085,6,1,3,1,3,4,1,3
respondent_376,municipality_063,5,4,6,4,4,7,2,7
respondent_377,municipality_066,5,6,9,5,3,6,4,4
respondent_378,municipality_083,7,6,6,7,1,7,7,6
respondent_379,municipality_032,6,4,8,1,4,7,3,1
respondent_380,municipality_011,5,1,3,1,4,4,6,2
respondent_381,municipality_095,1,1,2,1,4,1,1,1
respondent_382,municipality_019,7,5,8,1,1,6,3,6
respondent_383,municipality_095,1,2,6,1,3,1,1,5
respondent_384,municipality_083,7,1,3,1,4,7,1,1
respondent_385,municipality_078,5,1,6,4,4,6,5,4
respondent_386,municipality_051,3,3,8,3,4,7,4,1
respondent_387,municipality_014,5,1,10,1,1,1,6,7
respondent_388,municipality_053,3,5,7,1,3,1,2,1
respondent_389,municipality_091,7,3,7,1,4,6,3,3
respondent_390,municipality_006,4,3,4,1,2,4,2,1
respondent_391,municipality_026,7,3,3,3,3,7,5,3
respondent_392,municipality_037,5,2,2,1,1,6,6,1
respondent_393,municipality_093,7,1,6,6,4,7,5,5
respondent_394,municipality_003,3,2,5,1,4,3,3,3
respondent_395,municipality_055,1,1,3,1,4,1,1,1
respondent_396,municipality_047,6,1,10,5,3,7,5,6
respondent_397,municipality_014,4,3,5,1,3,3,4,1
respondent_398,municipality_019,1,4,9,1,3,5,2,2
respondent_399,municipality_020,5,2,1,1,4,7,5,1
respondent_400,municipality_105,1,1,5,1,4,7,7,3
respondent_401,municipality_084,6,2,1,7,3,6,5,1
respondent_402,municipality_014,5,5,2,1,4,5,5,1
respondent_403,municipality_086,5,5,6,4,2,5,3,4
respondent_404,municipality_091,5,4,9,1,1,5,1,1
respondent_405,municipality_034,1,6,1,1,1,1,1,2
respondent_406,municipality_023,7,5,10,6,3,5,6,7
respondent_407,municipality_069,1,1,10,7,4,1,1,7
respondent_408,municipality_049,5,4,5,5,4,5,6,6
respondent_409,municipality_062,7,5,8,6,1,7,6,7
respondent_410,municipality_086,1,1,3,1,3,7,2,1
respondent_411,municipality_044,1,6,4,1,4,1,1,4
respondent_412,municipality_105,3,4,3,2,3,1,2,4
respondent_413,municipality_057,7,5,10,7,3,7,1,4
respondent_414,municipality_023,5,3,8,4,2,6,5,5
respondent_415,municipality_063,1,1,5,1,4,3,1,1
respondent_416,municipality_020,7,7,3,1,3,7,1,2
respondent_417,municipality_103,7,5,5,3,4,5,5,5
respondent_418,municipality_022,1,1,3,4,4,7,1,4
respondent_419,municipality_033,4,1,6,2,3,5,3,3
respondent_420,municipality_017,7,1,8,7,3,7,7,7
respondent_421,municipality_072,1,1,9,1,3,4,4,1
respondent_422,municipality_107,4,6,9,1,2,7,6,3
respondent_423,municipality_099,7,4,10,5,1,7,7,6
respondent_424,municipality_046,1,5,7,6,3,1,5,2
respondent_425,municipality_064,5,7,1,1,1,3,7,2
respondent_426,municipality_034,7,7,8,7,3,7,7,7
respondent_427,municipality_067,3,1,8,2,3,7,5,2
respondent_428,municipality_065,6,1,9,1,3,5,5,3
respondent_429,municipality_022,3,4,8,5,4,6,5,6
respondent_430,municipality_029,2,2,4,2,3,2,1,2
respondent_431,municipality_090,6,3,1,4,3,5,3,3
respondent_432,municipality_031,5,3,4,4,3,6,5,6
respondent_433,municipality_014,6,3,1,5,3,7,6,6
respondent_434,municipality_009,2,6,7,3,3,4,2,2
respondent_435,municipality_104,2,1,6,1,4,2,3,1
respondent_436,municipality_023,7,1,4,4,4,7,7,4
respondent_437,municipality_010,4,1,2,5,4,7,5,3
respondent_438,municipality_063,2,1,3,1,3,1,1,1
respondent_439,municipality_014,6,5,10,1,3,7,7,4
respondent_440,municipality_028,4,1,5,1,2,3,4,1
respondent_441,municipality_023,7,2,5,2,1,7,7,3
respondent_442,municipality_104,2,5,3,2,3,7,1,1
respondent_443,municipality_045,6,5,10,6,3,5,6,6
respondent_444,municipality_011,6,2,10,3,2,7,1,5
respondent_445,municipality_053,3,3,10,1,3,3,1,1
respondent_446,municipality_056,4,3,7,2,4,5,3,2
respondent_447,municipality_078,3,2,3,1,4,5,4,4
respondent_448,municipality_104,3,4,6,3,4,3,4,4
respondent_449,municipality_086,1,1,3,1,3,7,2,1
respondent_450,municipality_018,7,6,7,7,3,7,6,7
respondent_451,municipality_049,5,3,5,5,3,7,7,5
respondent_452,municipality_046,7,5,10,1,4,7,7,5
respondent_453,municipality_063,1,1,1,1,4,3,2,1
respondent_454,municipality_015,3,6,9,5,3,6,7,5
respondent_455,municipality_086,6,5,7,6,3,5,5,6
respondent_456,municipality_103,7,5,9,2,3,7,5,2
respondent_457,municipality_063,6,2,4,6,3,7,5,5
respondent_458,municipality_063,1,7,5,3,3,7,7,7
respondent_459,municipality_060,2,1,2,2,4,1,2,3
respondent_460,municipality_018,2,1,10,1,3,3,3,2
respondent_461,municipality_053,5,6,5,4,3,7,5,6
respondent_462,municipality_040,6,1,4,1,3,5,3,4
respondent_463,municipality_021,5,3,5,4,4,6,3,6
respondent_464,municipality_008,4,5,10,5,3,6,3,4
respondent_465,municipality_015,3,6,9,5,3,6,7,5
respondent_466,municipality_097,5,4,6,5,4,7,4,5
respondent_467,municipality_009,5,4,1,2,4,3,2,1
respondent_468,municipality_025,5,1,3,6,4,2,3,4
respondent_469,municipality_012,3,5,10,1,3,7,5,5
respondent_470,municipality_047,6,4,10,6,3,7,6,7
respondent_471,municipality_079,6,4,7,5,3,6,7,5
respondent_472,municipality_097,5,5,5,6,2,6,6,5
respondent_473,municipality_072,7,5,1,6,3,7,6,6
respondent_474,municipality_064,3,4,2,3,3,4,3,2
respondent_475,municipality_009,1,1,1,1,4,1,1,1
respondent_476,municipality_028,3,4,3,1,3,5,4,1
respondent_477,municipality_007,7,6,9,1,2,7,7,3
respondent_478,municipality_074,4,7,2,1,3,3,3,1
respondent_479,municipality_103,1,1,10,2,3,3,1,2
respondent_480,municipality_044,3,4,7,1,4,2,1,1
respondent_481,municipality_103,7,5,9,2,3,7,5,2
respondent_482,municipality_068,7,2,8,4,3,7,6,6
respondent_483,municipality_023,1,5,1,1,3,4,3,4
respondent_484,municipality_105,4,4,10,1,2,5,4,2
respondent_485,municipality_065,7,5,8,4,3,6,3,6
respondent_486,municipality_048,2,2,2,2,3,6,3,4
respondent_487,municipality_020,1,4,10,3,4,5,4,4
respondent_488,municipality_035,7,4,1,7,1,7,7,7
respondent_489,municipality_065,7,4,10,5,4,7,5,6
respondent_490,municipality_063,3,1,5,1,3,5,5,7
respondent_491,municipality_008,1,2,10,1,4,4,2,3
respondent_492,municipality_092,5,5,8,3,2,7,6,4
respondent_493,municipality_051,2,4,7,2,2,4,5,2
respondent_494,municipality_054,4,3,10,1,3,1,6,2
respondent_495,municipality_050,7,4,10,5,2,7,7,7
