female,lgbtq,age,religiosity,income,college,blm_familiarity,linked_fate,Z,blm_support
1,0,0.014285714365541935,0,0,0,3,1,feminism,0.75
1,0,0.41428571939468384,0.800000011920929,0,0,2,1,general,1
1,0,0.37142857909202576,0,0.09090909361839294,0,2,0.25,feminism,0.75
1,0,0.11428571492433548,0,0.09090909361839294,0,4,1,feminism,1
0,0,0.37142857909202576,0,0,0,3,0.5,feminism,0.75
1,0,0.5571428537368774,0.4000000059604645,0.09090909361839294,1,3,1,general,0.75
1,0,0.27142858505249023,0,0.6363636255264282,1,4,1,general,1
1,0,0.24285714328289032,0,0.5454545617103577,0,3,1,intersectional,1
1,0,0.6428571343421936,0.4000000059604645,0.27272728085517883,0,1,0.75,intersectional,1
1,0,0.04285714402794838,0.800000011920929,0.3636363744735718,0,4,1,nationalism,1
1,0,0.4285714328289032,0,0.09090909361839294,0,3,0.75,intersectional,1
0,0,0.41428571939468384,0,0.8181818127632141,1,3,0.5,nationalism,1
1,0,0.5285714268684387,0.800000011920929,0.09090909361839294,0,3,0.5,general,0.25
1,0,0.5285714268684387,0,0,0,2,0.5,intersectional,0.5
1,0,0.3571428656578064,0.20000000298023224,0.1818181872367859,0,3,1,general,1
0,0,0.15714286267757416,0.4000000059604645,0.09090909361839294,0,3,1,feminism,0.5
1,0,0.20000000298023224,0,0.09090909361839294,0,3,0.75,feminism,0.5
1,1,0.10000000149011612,0,0.27272728085517883,0,4,1,intersectional,1
1,0,0.0714285746216774,0,0.09090909361839294,0,3,0.75,general,1
1,0,0.5285714268684387,0.800000011920929,0,0,3,0.75,feminism,1
0,0,0.24285714328289032,0,0.1818181872367859,0,2,0.75,intersectional,0.75
0,0,0.24285714328289032,1,0.7272727489471436,1,4,0.75,general,1
1,0,0.2142857164144516,0,0.27272728085517883,0,3,0.75,feminism,1
1,0,0.02857142873108387,0.800000011920929,0.1818181872367859,0,3,0.25,intersectional,0.5
1,0,0.27142858505249023,0,0.8181818127632141,1,4,1,nationalism,0.75
1,0,0.014285714365541935,0,0,0,3,0.5,general,0.75
1,0,0.014285714365541935,0,0.4545454680919647,0,4,1,general,1
1,0,0.04285714402794838,0,0.09090909361839294,0,4,1,intersectional,1
0,0,0.02857142873108387,0,1,0,2,0.75,feminism,0.5
0,0,0.02857142873108387,0.800000011920929,0.09090909361839294,0,3,0.75,feminism,1
1,0,0.014285714365541935,0.4000000059604645,0.6363636255264282,0,3,0.5,intersectional,0.75
0,0,0.6714285612106323,0.800000011920929,0.27272728085517883,0,4,0.5,intersectional,1
1,0,0.6714285612106323,0,0.09090909361839294,0,3,0.5,feminism,0
1,0,0.15714286267757416,0.4000000059604645,0.6363636255264282,0,4,1,feminism,1
1,0,0,0.800000011920929,0.1818181872367859,0,1,1,intersectional,1
1,1,0.02857142873108387,0,0.1818181872367859,0,4,1,feminism,1
1,0,0.6857143044471741,0.20000000298023224,0.3636363744735718,1,3,1,intersectional,0.75
1,0,0,0.800000011920929,0,1,4,1,general,1
1,0,0,0.20000000298023224,0.09090909361839294,0,4,1,general,1
1,0,0.014285714365541935,0,0.5454545617103577,0,3,0.5,nationalism,1
1,0,0,0,0.27272728085517883,0,3,0.25,nationalism,0.5
1,0,0.6714285612106323,0.800000011920929,0,1,2,1,general,0.75
0,0,0.0714285746216774,0.800000011920929,0,0,4,1,nationalism,1
0,0,0.04285714402794838,0,0.09090909361839294,0,2,0.75,general,0.5
1,0,0,0.6000000238418579,0.7272727489471436,0,3,1,intersectional,1
1,0,0.02857142873108387,0.4000000059604645,0.5454545617103577,0,2,1,feminism,1
1,0,0.6714285612106323,0.800000011920929,0.27272728085517883,0,4,1,nationalism,1
1,1,0.0714285746216774,0.4000000059604645,0.09090909361839294,1,4,0.75,intersectional,1
1,0,0.02857142873108387,0.4000000059604645,0.1818181872367859,0,3,0.25,intersectional,0.5
1,0,0.02857142873108387,0.800000011920929,0.09090909361839294,0,4,0.75,intersectional,1
1,0,0,0.800000011920929,0.4545454680919647,0,4,0.75,nationalism,1
1,0,0.014285714365541935,0.800000011920929,0.5454545617103577,0,4,0.75,general,0.75
1,1,0,0,0.27272728085517883,0,2,1,feminism,1
1,0,0.05714285746216774,1,0.1818181872367859,0,4,0.75,feminism,0.75
1,0,0.15714286267757416,0,0.6363636255264282,1,1,0.25,nationalism,1
1,0,0.05714285746216774,0.800000011920929,0,0,3,0,feminism,0
1,0,0,0,0.7272727489471436,0,4,0,nationalism,0.75
0,0,0.08571428805589676,0,0.09090909361839294,0,3,0.25,intersectional,0.5
1,0,0.05714285746216774,0.800000011920929,0,1,4,1,general,1
1,0,0.014285714365541935,0,0.09090909361839294,0,4,1,feminism,1
1,0,0.6714285612106323,0.800000011920929,0.09090909361839294,0,3,0.75,general,1
1,0,0.02857142873108387,0,0.09090909361839294,0,4,0.5,intersectional,1
1,0,0.699999988079071,0.800000011920929,0.09090909361839294,0,3,0.75,nationalism,0.75
0,0,0,0,0.27272728085517883,0,3,1,general,1
1,0,0,1,0.1818181872367859,0,4,1,general,1
1,0,0,0.800000011920929,0.27272728085517883,0,4,1,general,1
1,0,0.014285714365541935,0,0.3636363744735718,0,4,1,intersectional,1
0,0,0.02857142873108387,1,0.1818181872367859,0,3,0.75,general,0.75
1,0,0.08571428805589676,0.20000000298023224,0,0,3,0.75,general,1
1,0,0.02857142873108387,0,0.27272728085517883,0,4,1,nationalism,1
0,0,0.08571428805589676,0.4000000059604645,0,0,4,1,nationalism,1
0,0,0.0714285746216774,0,0.09090909361839294,0,4,1,feminism,0.75
0,0,0.02857142873108387,0.800000011920929,0,0,3,1,general,1
1,0,0.05714285746216774,0.20000000298023224,0.27272728085517883,1,3,0.5,general,0.75
0,0,0.6714285612106323,0,0.09090909361839294,0,3,1,nationalism,1
1,0,0.0714285746216774,0.4000000059604645,0.1818181872367859,0,3,0.75,intersectional,0.75
1,0,0.05714285746216774,0,0.09090909361839294,0,4,1,feminism,1
1,0,0.7285714149475098,0,0.1818181872367859,1,2,1,intersectional,0.5
1,0,0.02857142873108387,0.800000011920929,0.6363636255264282,0,4,1,feminism,1
0,0,0.02857142873108387,0,0.1818181872367859,1,4,1,intersectional,1
1,0,0.014285714365541935,0,0,0,3,1,feminism,1
0,0,0.02857142873108387,1,0.5454545617103577,0,4,1,nationalism,1
0,0,0.7428571581840515,0,0.3636363744735718,1,3,1,intersectional,1
1,0,0.12857143580913544,0,0.09090909361839294,1,4,1,feminism,1
1,0,0.8285714387893677,0.800000011920929,0.27272728085517883,0,3,1,general,0.75
1,0,0.04285714402794838,0,0.4545454680919647,0,4,1,intersectional,1
1,0,0.699999988079071,0,0,0,3,0.25,nationalism,0.75
1,0,0.7285714149475098,1,0.09090909361839294,0,2,0.5,general,1
1,0,0.04285714402794838,0,0.27272728085517883,0,4,0.75,general,0.75
0,0,0,0.6000000238418579,0,0,2,1,intersectional,1
1,0,0.6714285612106323,1,0.1818181872367859,0,4,1,nationalism,1
1,0,0.02857142873108387,0,0.4545454680919647,0,4,1,nationalism,1
0,0,0.6714285612106323,0.4000000059604645,0.1818181872367859,0,3,1,intersectional,0.75
1,0,0.7142857313156128,0.6000000238418579,0.1818181872367859,0,2,0.75,nationalism,0.5
1,0,0.6857143044471741,0,0.09090909361839294,0,2,0.75,general,0.5
0,0,0,0,0,0,2,0.75,nationalism,0.75
1,0,0.699999988079071,0.800000011920929,0.1818181872367859,0,3,1,intersectional,1
1,0,0.04285714402794838,0,0,0,4,1,feminism,1
1,0,0.04285714402794838,0.20000000298023224,0,0,2,0.75,nationalism,0.75
1,0,0.02857142873108387,0,0.3636363744735718,0,4,0.5,general,1
1,0,0.0714285746216774,0.6000000238418579,0.3636363744735718,0,4,1,general,1
1,0,0.6714285612106323,0.800000011920929,0,0,4,0.75,feminism,1
1,0,0.7571428418159485,1,0.6363636255264282,0,4,1,feminism,1
1,1,0,0.4000000059604645,0.4545454680919647,0,3,1,feminism,1
1,0,0.05714285746216774,0.800000011920929,0.27272728085517883,0,4,1,feminism,1
1,0,0,0.800000011920929,0.3636363744735718,0,4,1,nationalism,1
1,0,0.7142857313156128,0,0.27272728085517883,0,4,0.75,feminism,1
1,0,0.6714285612106323,0.4000000059604645,0.3636363744735718,1,3,1,feminism,1
0,0,0.6857143044471741,0.20000000298023224,0.8181818127632141,0,3,0.75,intersectional,0.75
0,0,0.699999988079071,0.800000011920929,0.4545454680919647,0,3,0.75,feminism,1
1,0,0.699999988079071,0,0,0,2,0,feminism,0.5
0,0,0.05714285746216774,0,0,0,4,1,general,1
1,0,0.7571428418159485,0.800000011920929,0.3636363744735718,1,3,0,feminism,0.75
1,0,0.7428571581840515,0.800000011920929,0,0,3,0.75,intersectional,1
1,0,0.7285714149475098,0.800000011920929,0.7272727489471436,0,4,1,feminism,1
0,0,0.5714285969734192,1,0.9090909361839294,1,3,0.75,nationalism,0.25
1,0,0,0.4000000059604645,0.09090909361839294,0,4,1,nationalism,1
0,0,0.7142857313156128,0,0.3636363744735718,0,3,1,feminism,1
1,0,0.7571428418159485,0.800000011920929,0.27272728085517883,0,4,1,intersectional,1
1,0,0.800000011920929,0.800000011920929,0.5454545617103577,0,3,0.25,general,1
0,0,0.8428571224212646,0.20000000298023224,0.27272728085517883,0,3,0.5,general,1
1,0,0.7285714149475098,0.800000011920929,0.3636363744735718,0,2,1,nationalism,0.75
1,0,0.6714285612106323,0.800000011920929,0.6363636255264282,0,4,0.25,nationalism,1
1,0,0.8285714387893677,0,0.27272728085517883,0,2,1,general,0.75
1,0,0.6857143044471741,1,0.6363636255264282,0,4,0,nationalism,1
1,0,0.7142857313156128,0.4000000059604645,0.09090909361839294,0,4,1,nationalism,1
0,0,0.3142857253551483,0.800000011920929,0.1818181872367859,0,4,0.75,intersectional,0.75
0,0,0.6857143044471741,0.4000000059604645,0.27272728085517883,1,2,0.75,feminism,0.75
0,0,0.6857143044471741,0,0.5454545617103577,0,3,1,intersectional,0.75
0,0,0.699999988079071,0.800000011920929,0.1818181872367859,1,3,1,general,1
1,0,0.7142857313156128,0.6000000238418579,0.09090909361839294,0,2,0.5,intersectional,0.5
1,0,0.6857143044471741,1,0.09090909361839294,0,2,0.25,general,0.5
1,0,0.7142857313156128,0.800000011920929,0.3636363744735718,0,3,1,feminism,0.75
0,0,0.7571428418159485,0,0.1818181872367859,0,3,1,general,1
1,0,0.6857143044471741,0.800000011920929,0.1818181872367859,0,3,1,nationalism,1
1,0,0.699999988079071,0.6000000238418579,0.09090909361839294,0,3,0,general,0.75
1,0,0.8142856955528259,0.6000000238418579,0.1818181872367859,1,3,0.75,nationalism,0.75
0,0,0.699999988079071,0,0.27272728085517883,1,3,1,intersectional,1
1,0,0.7428571581840515,0.6000000238418579,0.3636363744735718,1,3,0.75,intersectional,0.5
1,0,0.7285714149475098,0.4000000059604645,0.1818181872367859,0,3,0.75,intersectional,0.75
1,0,0.7142857313156128,0.800000011920929,0.6363636255264282,0,3,1,feminism,1
0,0,0.7428571581840515,0,0.1818181872367859,1,3,0.5,nationalism,1
0,0,0.6714285612106323,0.6000000238418579,0.09090909361839294,0,4,1,general,1
1,0,0.6857143044471741,1,0.5454545617103577,0,3,1,feminism,1
0,0,0.8142856955528259,0.4000000059604645,0.27272728085517883,0,3,1,intersectional,1
1,0,0.6857143044471741,0.6000000238418579,0.3636363744735718,1,4,1,general,0.5
0,0,0.7285714149475098,0.6000000238418579,0.7272727489471436,0,3,0.75,feminism,0.75
0,1,0.7428571581840515,0.20000000298023224,0.27272728085517883,0,3,0.75,general,1
0,0,0.8428571224212646,0.4000000059604645,0.3636363744735718,0,3,1,intersectional,1
1,0,0.7285714149475098,0.20000000298023224,0.27272728085517883,1,3,0.5,feminism,0.5
0,0,0.7714285850524902,0.6000000238418579,0.27272728085517883,0,2,1,intersectional,0.5
0,0,0.699999988079071,0,0.09090909361839294,0,2,0.75,nationalism,0.75
0,0,0.7714285850524902,1,0.4545454680919647,0,4,1,nationalism,1
0,0,0.699999988079071,1,0.8181818127632141,0,2,0.5,feminism,0.75
0,0,0.7142857313156128,0.800000011920929,1,1,3,1,feminism,0.75
0,0,0.8285714387893677,0,0.09090909361839294,1,4,1,general,1
0,0,0.8142856955528259,0.800000011920929,0.1818181872367859,0,3,0.75,general,1
0,0,0.8428571224212646,0.800000011920929,0.1818181872367859,0,3,0.5,general,0.75
1,0,0.8142856955528259,0.800000011920929,0.3636363744735718,0,3,1,feminism,1
1,0,0.8857142925262451,0.800000011920929,0.3636363744735718,1,3,0.75,general,0.75
1,0,0.9428571462631226,0,0.3636363744735718,0,3,1,intersectional,0.75
1,0,0.8285714387893677,0.800000011920929,0.4545454680919647,0,3,0,general,0
1,0,0.8285714387893677,1,0,0,2,1,feminism,0.5
1,0,0.8142856955528259,0.800000011920929,0.09090909361839294,0,3,0.75,feminism,0.75
1,0,0.8428571224212646,0.4000000059604645,0.27272728085517883,1,3,1,intersectional,1
1,0,0.8285714387893677,1,0.4545454680919647,0,3,0.5,nationalism,0.75
0,0,0.9857142567634583,0,0.09090909361839294,0,4,1,general,1
1,0,0.8428571224212646,0.800000011920929,0.27272728085517883,1,2,0.75,general,0.5
0,0,0.8857142925262451,0.800000011920929,0.5454545617103577,1,3,1,general,0.75
1,0,0.8571428656578064,1,0.4545454680919647,0,3,1,intersectional,0.5
1,0,0.7142857313156128,0.800000011920929,0.5454545617103577,0,3,1,nationalism,1
1,1,0.12857143580913544,0,0.1818181872367859,1,3,1,nationalism,1
0,0,1,0.800000011920929,0.5454545617103577,1,2,1,intersectional,0.75
0,0,0.9285714030265808,0,0.6363636255264282,1,3,0.75,feminism,1
1,0,0.8142856955528259,0,0.8181818127632141,0,3,0.75,general,0.75
1,0,0.8714285492897034,0.800000011920929,0.4545454680919647,0,3,1,general,1
1,0,0.014285714365541935,0.4000000059604645,0.27272728085517883,0,3,0.5,intersectional,0.75
1,0,0.04285714402794838,0,0.27272728085517883,0,3,0.75,intersectional,0.75
1,0,0.04285714402794838,0,0,0,4,1,nationalism,0.75
1,0,0.24285714328289032,1,0.9090909361839294,1,4,1,feminism,0
0,1,0.04285714402794838,0.4000000059604645,0,0,4,0.75,general,1
1,0,0.8142856955528259,0.800000011920929,0.4545454680919647,0,3,0.5,feminism,0.75
1,0,0.05714285746216774,0,0,0,2,1,general,1
1,0,0.8571428656578064,0.4000000059604645,0.5454545617103577,0,2,0.75,feminism,0.5
1,0,0.9285714030265808,0.4000000059604645,0.09090909361839294,0,3,0.75,feminism,0.75
1,0,0.8714285492897034,0.800000011920929,0.1818181872367859,0,3,1,nationalism,0.75
1,0,0.8142856955528259,1,0.7272727489471436,0,3,1,nationalism,1
1,1,0,0.6000000238418579,0.3636363744735718,0,3,0.75,nationalism,1
1,0,0.8142856955528259,0.4000000059604645,0.5454545617103577,1,2,0.25,feminism,0.5
0,0,0.2571428716182709,1,0.4545454680919647,1,3,1,nationalism,0.75
0,0,0.3285714387893677,0.800000011920929,0.09090909361839294,0,2,1,nationalism,1
0,0,0.44285714626312256,0.4000000059604645,0.09090909361839294,1,3,1,general,0.75
0,0,0.3857142925262451,0,0.8181818127632141,0,4,0.75,nationalism,0.5
1,0,0.2142857164144516,0.800000011920929,0.1818181872367859,0,1,0.5,nationalism,1
0,0,0.4000000059604645,0.4000000059604645,0.7272727489471436,1,3,1,nationalism,0.75
0,1,0.22857142984867096,0.6000000238418579,0.6363636255264282,1,3,0.5,feminism,0.75
0,0,0.2142857164144516,0,0.6363636255264282,1,3,0.25,nationalism,0.75
0,1,0.2571428716182709,0.4000000059604645,0.9090909361839294,1,4,1,general,1
0,0,0.37142857909202576,0.6000000238418579,0.8181818127632141,0,3,1,feminism,0.75
0,0,0.0714285746216774,0,0.1818181872367859,0,2,0.5,intersectional,1
0,0,0.30000001192092896,0,0.4545454680919647,1,3,1,general,1
0,0,0.5857142806053162,0,0,0,2,0.5,general,0.75
0,0,0.20000000298023224,1,0,1,1,0.75,nationalism,0.75
0,0,0.0714285746216774,0,0.4545454680919647,1,4,0.5,intersectional,0
0,0,0.5857142806053162,0.4000000059604645,0.09090909361839294,0,4,0.75,intersectional,1
0,0,0.6285714507102966,1,0.09090909361839294,0,2,1,intersectional,1
1,0,0.5857142806053162,0.4000000059604645,0.7272727489471436,1,4,1,feminism,1
0,0,0.24285714328289032,0,0.6363636255264282,0,4,0,feminism,1
0,0,0.30000001192092896,0,0.7272727489471436,0,2,1,nationalism,0.75
0,0,0.11428571492433548,0.4000000059604645,0.27272728085517883,0,3,1,nationalism,0.75
0,0,0.02857142873108387,0.4000000059604645,0.7272727489471436,0,4,1,feminism,1
0,0,0.10000000149011612,1,0,0,4,1,feminism,1
0,1,0.5714285969734192,0,0.09090909361839294,0,2,1,feminism,0.75
0,0,0.1428571492433548,1,0.27272728085517883,0,4,0.75,intersectional,1
0,0,0.48571428656578064,0.800000011920929,0.09090909361839294,0,2,0.75,nationalism,1
1,0,0.8428571224212646,0,0.1818181872367859,0,3,1,nationalism,1
0,0,0.02857142873108387,0,0.5454545617103577,0,4,0.75,feminism,0.75
0,0,0.5428571701049805,0.800000011920929,0.09090909361839294,0,3,0.5,intersectional,0.75
0,0,0.5,0,0.1818181872367859,0,3,0.25,intersectional,0
0,0,0.4285714328289032,0,0.6363636255264282,0,3,0.5,feminism,0.75
1,0,0.4714285731315613,0,0.4545454680919647,0,1,0,nationalism,1
0,0,0.7428571581840515,0,0.27272728085517883,0,2,0.5,feminism,1
0,0,0.02857142873108387,0.800000011920929,0.4545454680919647,1,3,1,feminism,1
0,0,0.27142858505249023,0.4000000059604645,0.27272728085517883,0,3,0.75,feminism,0.5
0,0,0.05714285746216774,0,0.1818181872367859,0,4,0.75,feminism,1
0,0,0.04285714402794838,1,0.7272727489471436,0,2,0.5,intersectional,0.75
0,0,0.48571428656578064,0.20000000298023224,0.27272728085517883,0,1,1,nationalism,1
0,0,0.22857142984867096,0,1,1,3,0.5,feminism,1
0,0,0.08571428805589676,0.800000011920929,0.3636363744735718,1,2,0.75,nationalism,0.75
0,0,0.3571428656578064,0,0.4545454680919647,0,3,0.75,feminism,1
0,0,0.5714285969734192,0.4000000059604645,0.4545454680919647,0,2,0.75,nationalism,0.75
0,0,0.18571428954601288,0,0.1818181872367859,0,2,1,intersectional,0.5
0,0,0.1428571492433548,0.6000000238418579,0.27272728085517883,1,3,1,general,1
0,0,0.2857142984867096,0.20000000298023224,0.1818181872367859,0,3,1,feminism,0.5
0,0,0.02857142873108387,0.800000011920929,0,0,3,1,intersectional,1
0,0,0.1428571492433548,0.800000011920929,0.27272728085517883,0,3,0.5,feminism,0.5
0,1,0.20000000298023224,0.20000000298023224,0.27272728085517883,1,2,1,nationalism,0.75
0,0,0.5571428537368774,0.6000000238418579,0.7272727489471436,1,3,1,nationalism,1
0,0,0.5142857432365417,1,0.3636363744735718,0,3,1,general,1
0,0,0.5571428537368774,0,0.6363636255264282,0,3,0,intersectional,0.5
0,0,0.3285714387893677,0.800000011920929,0.1818181872367859,0,3,1,feminism,0.75
0,0,0.20000000298023224,0.800000011920929,0.5454545617103577,0,3,1,nationalism,1
0,0,0.02857142873108387,0,0.27272728085517883,0,3,1,nationalism,1
0,0,0.5714285969734192,0.800000011920929,0,1,3,1,intersectional,0.75
0,0,0.12857143580913544,0,0.3636363744735718,1,4,1,nationalism,1
0,1,0.4285714328289032,0,0,0,1,1,feminism,1
0,0,0.6714285612106323,0.6000000238418579,0.09090909361839294,0,3,0.5,feminism,0.75
0,0,0.014285714365541935,0.20000000298023224,0.4545454680919647,0,4,0.5,feminism,0.25
0,0,0.05714285746216774,0.20000000298023224,0.1818181872367859,0,3,0.75,intersectional,0.75
0,0,0.18571428954601288,0,0.8181818127632141,0,4,1,intersectional,1
1,0,0.0714285746216774,0,0,1,2,1,intersectional,0.75
0,0,0.17142857611179352,0,0,0,4,1,feminism,0.75
0,0,0.5857142806053162,0.6000000238418579,0.8181818127632141,0,4,0.75,feminism,1
0,0,0.20000000298023224,0.20000000298023224,0,0,2,1,nationalism,0.75
0,0,0.15714286267757416,0.6000000238418579,0.3636363744735718,0,3,1,feminism,0.75
0,0,0.2857142984867096,0.6000000238418579,0.6363636255264282,0,1,1,nationalism,0.5
0,0,0.37142857909202576,0.4000000059604645,0.4545454680919647,0,3,0.5,feminism,1
0,0,0.4714285731315613,0,0.7272727489471436,1,3,0.75,nationalism,0.75
0,0,0.48571428656578064,0.20000000298023224,0,0,3,0.75,intersectional,0.5
0,0,0.5714285969734192,0.800000011920929,1,1,3,1,general,0.75
0,0,0.10000000149011612,0.800000011920929,0.1818181872367859,1,4,1,intersectional,1
1,1,0,0,0.5454545617103577,0,3,1,nationalism,0.75
1,0,0.7285714149475098,0.800000011920929,0.6363636255264282,1,2,0.25,nationalism,0.5
0,0,0.02857142873108387,0,0,0,3,0.75,nationalism,1
1,1,0.02857142873108387,0.800000011920929,0,0,3,1,nationalism,1
0,0,0.7142857313156128,0.800000011920929,0.4545454680919647,0,2,0.25,intersectional,0.5
0,0,0,0,0,0,4,0.5,general,1
1,1,0.04285714402794838,0,0,0,3,0.75,intersectional,1
1,0,0.0714285746216774,0,0.1818181872367859,0,3,0,intersectional,0.5
1,0,0.02857142873108387,0,0,0,4,1,feminism,1
1,0,0.0714285746216774,0,0.09090909361839294,0,4,1,intersectional,1
1,0,0.7285714149475098,0.800000011920929,0.3636363744735718,1,2,1,feminism,0.5
1,0,0.04285714402794838,0,0.6363636255264282,0,4,1,general,1
1,0,0.6857143044471741,0.6000000238418579,0.27272728085517883,0,2,0.75,feminism,0.75
0,0,0,0,0.1818181872367859,0,3,0,intersectional,0.5
1,0,0.6714285612106323,0.20000000298023224,0,0,2,0.75,general,1
1,0,0.6714285612106323,0.20000000298023224,0.4545454680919647,1,3,1,nationalism,1
1,0,0.699999988079071,0.6000000238418579,0.9090909361839294,0,2,0.5,feminism,0.5
1,0,0.7857142686843872,1,0.27272728085517883,0,2,0,general,0.5
0,1,0.7285714149475098,0.4000000059604645,0.3636363744735718,1,3,0.25,nationalism,1
1,0,0.6714285612106323,0.4000000059604645,0.3636363744735718,1,3,0.75,intersectional,1
1,0,0.6714285612106323,1,0.09090909361839294,1,2,0.5,general,0.5
1,0,0.8142856955528259,0.4000000059604645,0.27272728085517883,1,3,0.25,nationalism,0.5
1,1,0,0,0,0,3,1,general,1
0,0,0.1428571492433548,0,0.4545454680919647,0,3,0.75,feminism,0.75
1,0,0.0714285746216774,0.800000011920929,0.09090909361839294,0,3,1,general,1
1,0,0.9142857193946838,1,0.09090909361839294,0,2,1,feminism,1
1,0,0.8571428656578064,0.800000011920929,0.6363636255264282,0,3,1,general,0.25
0,0,0.04285714402794838,1,0.6363636255264282,1,4,0.75,general,0.75
0,0,0.8428571224212646,0.800000011920929,0.5454545617103577,0,3,0.5,feminism,0.5
1,0,0.8142856955528259,0.800000011920929,0.09090909361839294,0,3,0.25,feminism,0.75
1,0,0.8999999761581421,0.4000000059604645,0.1818181872367859,1,1,0.75,nationalism,0.75
1,0,0.8142856955528259,0.800000011920929,1,1,3,0.75,general,1
1,0,0.8285714387893677,0,0.1818181872367859,0,4,1,general,1
0,0,0.10000000149011612,1,0.09090909361839294,0,4,1,feminism,1
1,0,0.48571428656578064,0,0.8181818127632141,1,3,1,feminism,1
1,0,0.4000000059604645,0.6000000238418579,0.3636363744735718,0,3,0.75,general,1
1,0,0.014285714365541935,0.4000000059604645,0,0,4,0.75,feminism,1
1,0,0.0714285746216774,0.800000011920929,0.1818181872367859,0,1,1,nationalism,1
1,0,0.5285714268684387,0.6000000238418579,0.6363636255264282,0,3,0.75,general,0.5
1,0,0.22857142984867096,0.20000000298023224,0.4545454680919647,1,3,0.75,nationalism,0.5
1,0,0.12857143580913544,0,0.3636363744735718,0,3,1,general,0.75
1,0,0.3857142925262451,1,0.27272728085517883,1,1,0.5,feminism,0.5
1,0,0.3142857253551483,1,1,1,4,1,intersectional,1
1,0,0.10000000149011612,0.6000000238418579,0.27272728085517883,0,3,1,feminism,1
1,0,0.24285714328289032,0,0.27272728085517883,0,4,1,general,0.75
0,1,0.04285714402794838,0,0.09090909361839294,1,3,1,feminism,1
1,0,0.6000000238418579,0.4000000059604645,0.9090909361839294,1,4,1,nationalism,0.75
1,0,0.5285714268684387,0.20000000298023224,0,0,4,1,nationalism,1
1,1,0.1428571492433548,0,0.6363636255264282,1,4,1,intersectional,1
1,0,0.27142858505249023,0.4000000059604645,0.09090909361839294,0,4,0.5,nationalism,1
1,0,0.2857142984867096,0.20000000298023224,0.1818181872367859,0,3,1,general,1
0,0,0.05714285746216774,0,0.6363636255264282,0,4,1,feminism,0.5
1,0,0.10000000149011612,0.800000011920929,0.27272728085517883,0,4,1,nationalism,0.75
0,0,0.11428571492433548,0.4000000059604645,0.27272728085517883,0,3,1,feminism,0.75
0,0,0.3571428656578064,0,0.4545454680919647,0,4,1,general,1
1,0,0.48571428656578064,0.6000000238418579,0.27272728085517883,1,3,1,intersectional,1
1,0,0.6285714507102966,0.4000000059604645,0.09090909361839294,0,3,0,feminism,0.5
1,0,0.6571428775787354,0.20000000298023224,0.4545454680919647,1,3,0.5,feminism,0.75
1,0,0.014285714365541935,0,0.5454545617103577,0,4,1,general,1
1,0,0.24285714328289032,0,0.1818181872367859,0,3,0.5,general,0.75
1,0,0.2142857164144516,0,0.3636363744735718,0,4,0.5,feminism,0.5
1,0,0.02857142873108387,0,0.27272728085517883,0,1,0.5,general,1
1,0,0.5428571701049805,0.6000000238418579,0,0,4,1,feminism,1
