party,age,census_tract,voted_2012
REP,29,574100,0
DS,35,543801,1
AI,25,403600,1
REP,31,262704,0
DEM,52,920037,0
NPP,23,400900,1
DEM,59,188300,1
DEM,25,542200,1
DEM,49,218400,1
DEM,48,573700,0
DEM,80,222200,0
DEM,42,234502,1
REP,33,400204,1
DEM,21,276100,0
DEM,64,300100,1
DEM,25,542200,0
DEM,59,213100,1
DEM,44,102104,1
DS,26,600100,1
DS,33,570003,1
DEM,73,701302,1
DEM,29,482002,0
DEM,22,218220,1
DS,46,214100,1
DEM,29,236100,0
DEM,66,800329,0
DEM,67,104203,1
NPP,21,300100,0
DS,43,503601,1
DEM,28,208000,0
DEM,62,111302,1
DEM,44,901205,1
DEM,69,534001,0
AI,35,910002,1
DS,59,573004,0
DS,35,302103,1
DEM,56,119400,1
DEM,28,106520,1
REP,61,800204,1
IR,27,143800,1
DS,27,577100,1
DEM,43,535101,1
NPP,26,402101,0
REP,66,651201,0
DEM,34,503702,1
DEM,59,463400,0
DEM,63,502601,0
DS,29,234800,1
NPP,76,603102,0
REP,65,920031,1
DEM,65,650502,1
DEM,58,900300,0
NPP,58,311300,0
GRN,52,400207,0
DEM,82,143800,0
NPP,45,137104,1
DS,56,406800,0
DS,48,229410,1
DEM,57,294200,1
PF,26,554302,0
NPP,21,227010,0
DEM,88,238000,0
DS,75,302504,0
DEM,56,980009,0
DEM,66,920036,0
DEM,35,603101,1
G3,26,600304,1
DEM,53,461300,0
DEM,40,199300,1
REP,67,461200,1
LIB,41,132101,0
NPP,21,542401,0
DS,39,113421,1
DEM,36,104620,1
NPP,21,183300,0
REP,57,702300,0
DEM,70,125200,0
DS,26,532603,1
REP,66,296401,1
NPP,40,535300,0
DEM,59,603005,1
REP,59,296600,1
DS,47,920111,1
REP,70,271600,1
NPP,46,571400,1
DEM,60,291220,0
DEM,74,651401,0
REP,50,503302,1
DEM,73,603704,1
DEM,27,534804,0
NPP,53,554514,0
DEM,68,195100,1
REP,42,670002,1
REP,49,430502,1
DEM,79,430302,1
DEM,21,550602,0
DEM,32,189905,0
DEM,34,234000,0
DEM,26,570203,1
DEM,40,534202,1
DS,55,103101,1
PF,42,141102,1
AI,65,301203,1
REP,58,621001,0
DS,34,543703,0
NPP,33,211703,1
DS,58,115101,1
REP,26,554103,1
DEM,43,543306,1
DS,33,650501,0
DS,26,462800,1
NPP,30,900507,1
DS,24,535702,1
DEM,63,702600,1
DEM,45,550901,1
DS,35,131900,1
REP,41,199120,1
DEM,22,531101,0
DEM,37,123420,1
DS,24,603702,1
REP,67,482001,0
DEM,22,553602,1
DEM,82,531603,1
REP,42,570602,1
REP,61,310300,0
DEM,46,135202,1
REP,63,310100,1
DEM,86,131600,1
DEM,78,125100,0
DS,28,920337,0
DEM,51,920020,1
REP,92,651304,0
DEM,37,503000,1
DS,48,403404,0
REP,55,900508,0
DEM,41,408133,1
DEM,60,400404,1
DEM,83,201501,1
NPP,36,216100,0
REP,68,216300,1
REP,54,310601,1
DEM,34,573800,1
DEM,62,183300,1
DS,74,111202,0
DEM,49,240401,1
NPP,61,542104,1
REP,60,920031,1
DS,45,503402,1
DEM,80,401201,0
REP,28,403403,0
NPP,32,219700,0
REP,57,430003,0
DEM,85,552900,1
NPP,41,113401,0
DEM,78,204600,1
DS,34,400800,1
DS,54,275500,1
DEM,60,195802,1
PF,56,431900,1
DEM,45,216900,1
DEM,40,703001,0
DEM,39,910605,1
DEM,41,700801,1
DEM,31,264000,1
DS,25,533901,0
DEM,28,211921,1
DS,65,408006,1
REP,70,267403,0
DEM,45,267404,1
DS,33,702803,1
DEM,80,201700,1
PF,52,296210,1
DS,44,101122,1
REP,59,550100,1
NP,60,242600,1
DEM,44,237300,1
DEM,83,406602,0
REP,86,651222,0
REP,76,901007,0
DEM,23,218210,0
DEM,69,403320,0
AI,19,300901,0
DS,42,401311,1
REP,57,910804,0
REP,64,101122,0
REP,70,400207,0
REP,26,920326,1
REP,22,408202,0
DEM,89,207710,1
DS,53,503106,0
DEM,63,600801,0
DEM,20,401312,0
DEM,45,310100,1
REP,31,123206,1
DEM,58,430101,0
AI,43,277000,0
NPP,26,206300,0
REP,26,534900,1
DEM,67,481401,1
DEM,38,600303,1
REP,90,574400,0
AI,37,700502,1
DEM,67,194102,1
DEM,37,604001,0
REP,76,300501,0
REP,95,651304,1
DS,40,504101,1
AI,54,703200,1
REP,26,910205,1
REP,63,301900,1
REP,33,291220,0
DEM,37,702501,1
DEM,91,482800,0
REP,50,503703,0
DS,45,650102,1
DEM,42,195720,0
DEM,28,310703,0
REP,68,670416,0
DEM,58,573300,1
NPP,21,544001,0
DEM,53,124000,1
DS,82,670407,0
DS,47,265305,1
DEM,65,405400,0
DEM,49,540203,1
DEM,81,601001,0
DEM,27,125502,1
REP,65,402501,1
DEM,63,231600,0
DEM,38,701601,1
DEM,68,533002,0
DEM,56,430400,1
REP,82,295103,0
DS,74,128302,0
DEM,41,920028,1
REP,41,920339,0
DS,65,123901,1
DEM,76,403801,0
REP,51,297601,0
DS,49,109200,1
NPP,20,402402,0
DEM,21,204910,0
NPP,50,920114,1
DEM,69,139200,1
DS,73,194102,0
DEM,31,574000,1
REP,61,401303,0
DEM,60,403703,0
DS,31,132900,1
NPP,56,577000,1
DEM,54,910605,1
NPP,31,300600,0
REP,40,134103,0
DEM,38,128801,1
DEM,69,531504,1
DS,53,532304,1
LIB,67,103200,0
REP,39,551501,1
DEM,79,197420,1
DS,54,401601,1
DEM,63,211122,0
REP,69,115201,1
DEM,66,430724,1
DS,58,402600,0
DEM,34,701802,0
DS,58,533602,1
DEM,66,128910,1
DEM,47,432602,1
REP,59,602600,0
NPP,32,604001,1
DEM,69,231220,1
DEM,23,186100,0
DEM,31,191610,1
DS,33,405900,1
DS,63,650902,1
NPP,30,554302,0
DEM,26,267403,1
DEM,22,211320,0
REP,46,920023,1
DEM,19,121222,0
REP,50,139701,1
DEM,28,550800,1
REP,62,115201,1
DEM,62,218400,1
DEM,31,206200,0
DEM,93,133100,1
DEM,43,400402,1
DEM,79,183220,1
DS,64,482521,0
DEM,36,572700,0
GRN,31,221900,1
DEM,87,401500,0
NPP,34,502801,1
REP,75,403318,0
DS,32,901004,1
DEM,80,187101,1
REP,26,901010,1
DEM,78,216300,0
DEM,63,137402,0
NPP,29,204300,1
REP,86,300600,1
DEM,26,115201,1
DEM,41,125600,1
DEM,75,570501,1
DEM,43,103400,1
NPP,25,531701,0
DEM,29,113321,1
DS,79,670702,1
DS,38,920035,1
DEM,25,535400,0
NPP,47,430902,0
REP,36,131600,1
DEM,66,554802,1
GRN,23,602002,0
DEM,25,430902,0
REP,36,570602,0
DEM,60,132700,1
REP,22,920109,1
DS,55,543201,1
DEM,38,216800,1
DEM,44,572700,1
NPP,64,482201,1
REP,22,920336,0
DEM,50,407301,0
DEM,21,503104,0
DEM,36,430102,1
DS,46,551502,1
DEM,73,297500,0
DEM,51,119310,1
DS,54,311100,0
NPP,57,920034,1
NPP,27,123901,0
NPP,27,554001,0
NPP,43,541500,0
DEM,91,481711,1
REP,57,131020,1
DEM,41,115301,0
DS,61,117510,1
DEM,75,543702,0
DEM,21,901011,0
DEM,72,702002,1
DEM,69,533401,0
DS,53,910810,0
DEM,64,531902,1
DEM,74,407601,0
DEM,19,530601,0
DEM,78,121210,1
DEM,81,571300,0
GRN,47,701801,0
DEM,49,137402,1
REP,55,461200,1
DEM,53,461200,1
DEM,65,221210,0
DEM,37,311300,1
DS,41,920334,1
DEM,68,264102,0
DEM,45,550902,1
AI,30,265700,0
NPP,49,310900,1
DEM,44,124700,1
DEM,23,700502,1
REP,37,113422,1
NPP,39,222100,0
DEM,41,576200,1
DEM,29,482301,1
DEM,44,403316,1
DEM,102,701702,0
DS,24,402600,1
DS,25,541400,0
NAT,60,234600,1
DEM,41,235202,1
DEM,38,101400,1
DS,83,194401,1
DEM,27,920036,1
DEM,65,501600,1
DEM,78,800329,0
DEM,78,241201,0
DEM,38,702002,0
REP,31,920313,1
DEM,50,234700,0
DEM,71,403323,1
DEM,47,570501,1
DEM,21,302504,0
DS,46,261102,1
REP,43,124400,0
DS,57,901004,0
DEM,46,190100,0
DEM,21,535604,0
REP,40,237402,0
DS,35,125402,1
DS,52,701201,1
DEM,43,311600,1
DS,37,543802,1
DEM,28,219901,1
DS,34,702400,1
NPP,28,115403,0
NPP,32,183810,0
DEM,70,501501,1
AI,54,181300,1
NPP,24,431700,1
NPP,23,702600,1
DS,34,670202,0
DEM,26,463601,1
DEM,63,531502,0
DEM,55,121600,1
DEM,53,218400,0
DS,31,134720,0
DEM,62,408706,1
REP,25,530500,0
REP,30,501700,1
DEM,66,920330,0
REP,62,530802,1
DEM,50,533601,0
DEM,27,106020,1
NPP,26,542700,1
DEM,30,542502,1
NPP,34,190301,0
DEM,23,502402,1
DEM,54,536000,1
REP,58,264000,1
REP,69,432201,1
DEM,24,920115,1
DEM,24,480901,1
DEM,64,461300,0
DEM,26,503501,1
DEM,22,139703,0
REP,54,301203,0
DS,40,502302,1
DS,23,602403,0
DEM,55,276603,1
DS,43,432201,1
DEM,26,238000,0
DS,31,550800,1
DEM,27,231800,1
DS,31,115103,1
DEM,83,111400,0
REP,79,401602,0
DEM,25,602801,0
DEM,49,920030,1
AI,28,301802,1
DEM,70,651302,1
DEM,88,402101,0
NPP,21,433306,0
DEM,59,267800,1
DS,34,218900,1
PF,56,122000,1
REP,70,430003,1
DEM,30,267402,0
REP,19,183300,0
DS,30,199700,1
REP,78,310800,0
NPP,49,241202,0
REP,63,224020,0
DEM,73,212102,1
DS,68,461100,1
DEM,57,275302,0
DS,69,430302,0
DS,33,131800,1
DEM,36,481401,1
DEM,28,234902,1
NPP,21,920042,0
REP,44,504101,0
DEM,66,502302,1
DEM,54,135203,1
REP,49,920034,0
DEM,25,264103,0
REP,78,221210,0
DEM,65,540800,1
REP,55,275311,0
DEM,36,276601,0
DS,30,480804,1
DEM,28,199120,1
REP,27,573202,1
DEM,35,209401,1
DEM,51,277200,1
DEM,30,533202,1
NPP,34,535607,1
NPP,26,293202,1
DEM,54,239702,0
REP,57,920312,1
AI,50,271200,0
REP,25,240010,0
NPP,43,434001,0
DEM,65,311200,1
DEM,39,201601,0
REP,57,432402,1
DS,46,701302,0
DS,49,293304,1
DEM,36,701202,1
DEM,23,650901,1
DEM,69,500300,1
REP,72,408705,0
NPP,25,294701,0
REP,49,401202,0
DEM,51,187300,0
DS,37,240600,1
DEM,68,201120,1
DS,36,201302,0
REP,39,403401,1
REP,77,910202,0
REP,53,572201,1
DEM,77,602106,0
DEM,26,276400,1
REP,41,920334,1
DS,67,651001,0
NPP,31,222002,0
DEM,43,502100,1
DEM,26,540502,1
DEM,36,980015,1
DEM,28,574400,1
DEM,55,405500,1
NPP,25,543604,1
DS,41,601502,1
DEM,50,543801,1
DS,43,601302,1
DS,48,460100,1
REP,58,800326,0
REP,86,531503,0
DS,79,133100,1
REP,54,124203,1
DEM,23,432500,1
DEM,51,800330,1
DEM,53,603301,1
DEM,44,269907,1
DEM,66,269700,1
NPP,23,482202,1
DS,34,134710,1
REP,78,550300,1
DS,23,192520,1
DEM,53,211804,1
DEM,53,265100,1
DEM,40,241110,0
DEM,47,185204,0
NPP,35,651401,0
REP,32,125401,1
REP,32,262400,1
DEM,83,262704,0
NPP,59,551800,0
DEM,54,296600,1
DEM,72,600501,0
DEM,55,554802,1
NPP,57,570100,0
REP,56,650004,0
DS,65,403405,0
DEM,25,238320,0
DEM,30,119002,1
DEM,50,543000,1
DEM,51,302103,1
REP,50,910805,1
DEM,81,920326,1
DS,39,293301,0
DEM,22,481202,1
DEM,40,553300,1
REP,75,400205,0
AI,34,141303,1
AI,46,267700,1
DS,59,122000,1
REP,63,106405,0
REP,29,239802,1
REP,53,128801,1
DEM,88,181600,1
NPP,40,920042,0
AI,85,310702,0
AI,21,901007,0
NPP,63,190301,1
REP,61,311100,1
DEM,42,186403,1
DEM,46,702501,0
DEM,37,277000,0
DEM,30,700902,0
DS,44,536102,1
DS,33,134901,1
DEM,44,403404,1
AI,50,194200,1
DEM,59,186401,1
DS,36,132300,1
DEM,24,213310,1
DEM,38,533501,1
DEM,63,543701,1
DEM,64,601303,0
PF,59,234902,1
REP,46,128702,0
DEM,55,271500,0
DEM,36,181300,1
DEM,26,190510,0
AI,56,139503,1
DEM,56,530500,1
DEM,31,109300,0
NPP,53,543321,1
DEM,65,403303,0
DEM,53,119201,1
DEM,23,553602,0
REP,79,104124,1
DEM,22,109300,0
DEM,52,460302,0
REP,30,131800,1
AI,36,234600,1
DEM,51,503702,1
PF,29,294820,0
DEM,45,212502,1
NPP,44,553100,0
NPP,35,570203,0
REP,51,138000,1
LIB,39,104810,0
DS,49,190100,0
DEM,61,551201,1
DEM,30,192410,0
DS,39,481901,0
REP,46,800332,1
AI,31,301206,0
DS,71,554515,0
DS,69,433602,1
NPP,22,101122,1
DS,54,301000,1
NPP,43,119800,1
NPP,26,400604,0
DEM,47,602506,0
DEM,49,104704,0
REP,30,101210,1
REP,55,113401,1
DEM,46,900504,0
NPP,28,190202,1
IR,37,207710,1
DEM,52,119700,1
DS,25,920339,1
IR,44,920111,1
DEM,45,203800,0
REP,92,134422,1
REP,31,577100,1
NPP,44,530004,1
DEM,51,277100,0
DEM,64,651222,0
NPP,42,228210,1
DEM,57,203800,1
REP,87,131800,1
DEM,62,670602,1
DEM,42,185310,1
REP,56,536000,1
DS,51,117202,0
DEM,25,910210,0
NPP,32,239330,1
DEM,64,119310,1
NPP,27,461600,1
REP,33,910401,1
DEM,102,237300,1
DEM,59,550700,1
REP,45,480901,1
NPP,30,574100,1
DEM,69,703100,1
DEM,59,240700,0
DEM,23,900504,1
DEM,34,181400,0
DEM,54,930401,1
REP,34,702102,0
REP,51,297400,0
NPP,31,291210,0
REP,67,650501,0
DEM,89,265602,0
DEM,50,300200,1
NPP,28,302102,0
DEM,61,132001,1
DEM,52,482521,1
DS,29,650800,0
DEM,39,408006,0
AI,36,406300,1
DEM,34,541700,0
DEM,63,600802,0
AME,57,552700,0
DEM,68,188202,1
REP,47,920338,0
DEM,75,900300,0
DS,60,402200,1
DEM,68,186100,1
REP,51,211121,1
DEM,32,302504,1
DEM,82,532200,1
NPP,25,106010,1
REP,68,577603,0
DEM,23,239601,0
DEM,34,191720,1
REP,64,404504,1
DEM,61,403317,1
DEM,59,206300,0
DEM,44,573100,1
DEM,25,800324,1
DEM,51,554900,0
REP,98,139702,0
DEM,38,273902,0
DEM,21,702002,0
DEM,58,219902,1
DEM,52,273300,1
DEM,37,143602,1
DEM,61,503702,1
DEM,45,541002,1
REP,80,572201,0
DS,35,406500,1
DEM,61,208000,1
AI,41,183101,0
DS,85,401002,1
DEM,24,602104,0
DEM,25,530102,0
AI,79,269000,1
DEM,38,137501,1
NPP,22,460200,0
DEM,43,536103,1
DEM,49,552601,1
AI,56,195802,1
DEM,26,600100,1
DEM,51,700300,1
DEM,67,920104,1
DS,39,910401,0
DEM,59,117201,1
DEM,33,240700,1
DEM,56,910709,1
DEM,48,650502,1
NPP,45,123901,1
DEM,41,571200,1
REP,31,262200,0
DEM,51,276601,1
DEM,60,533901,0
DEM,64,543322,0
PF,23,541802,0
DEM,56,535502,1
DEM,55,106648,1
DEM,84,234200,1
DEM,57,294900,1
REP,52,139701,1
REP,50,117303,1
DS,62,403401,0
NPP,47,199800,1
REP,56,910809,0
DEM,29,702002,0
DEM,41,221210,1
DEM,47,544001,1
REP,49,621301,1
DEM,60,542104,0
DEM,46,602700,1
DEM,22,553000,1
DEM,49,534900,1
DEM,41,603101,1
DEM,55,532302,0
NPP,50,404801,1
NPP,87,480304,0
REP,72,432500,0
DS,75,480804,1
DEM,63,135111,1
AI,53,300400,0
REP,29,503602,1
DEM,55,543801,1
DEM,66,107010,1
DEM,102,128802,1
DEM,40,132001,1
DEM,68,910505,0
DEM,42,115401,1
REP,78,550500,0
DS,73,191201,0
DS,53,403406,0
DEM,23,920337,1
DEM,69,800325,1
DEM,61,125310,0
DEM,43,242000,0
AI,28,237300,0
DEM,43,296220,0
DS,60,910810,1
DEM,64,540800,1
DEM,47,188201,1
DEM,47,119400,0
REP,69,920326,0
DEM,61,137502,1
NPP,20,901205,0
DEM,46,550800,1
DS,25,620002,1
DEM,65,920334,1
DEM,35,234300,1
REP,28,577000,1
DS,48,278102,1
DEM,98,102104,1
DS,32,543603,1
DEM,71,910605,1
DEM,37,190520,1
DEM,57,302102,1
REP,82,544002,0
DEM,49,920041,1
REP,35,700102,1
DEM,82,701402,1
DS,42,503801,0
DEM,42,228100,1
DEM,27,402902,0
DEM,37,550300,1
NPP,36,602004,0
DS,27,552601,1
AI,49,480011,0
DS,56,920339,1
DEM,82,701702,1
DEM,49,143902,0
DEM,61,535902,1
REP,81,302102,1
DEM,71,204910,1
DEM,31,191820,1
DEM,76,430801,0
NPP,20,181600,0
REP,64,531302,1
DS,41,185310,1
DS,45,191500,1
DS,66,700902,1
DEM,35,500402,1
DS,44,131600,1
LIB,41,577501,0
DS,49,703001,1
REP,57,574800,1
AI,26,462301,1
AI,24,406902,0
REP,49,544002,1
REP,49,271400,0
DS,48,503701,1
DEM,30,187200,0
REP,31,900606,1
REP,60,295103,0
NPP,81,216300,1
DEM,34,269601,1
LIB,48,620002,1
NPP,77,920312,0
DEM,49,278102,1
DEM,87,189902,0
REP,77,187101,0
DEM,48,234700,1
REP,35,295103,0
REP,72,574400,1
DS,34,554406,1
DEM,69,530101,1
DS,34,462001,1
DEM,26,533503,1
DEM,57,211000,0
REP,29,406500,0
DEM,25,201504,1
REP,52,141700,0
AI,23,910705,0
DEM,85,570902,1
REP,27,135114,0
DEM,25,240401,0
DEM,84,113321,1
NPP,41,134904,0
NPP,32,188201,1
DEM,28,294421,0
LIB,26,302301,0
DEM,60,532302,0
DEM,51,460900,0
DEM,62,404000,1
DEM,37,277100,1
DEM,68,541200,1
DEM,78,128702,1
REP,66,134104,1
DS,45,650300,1
DEM,66,302103,1
DEM,42,920041,1
REP,57,430003,1
DEM,66,195300,1
REP,68,124600,0
DEM,37,310100,1
DEM,76,701602,0
DEM,86,463800,0
DEM,26,554302,0
DEM,28,481605,1
DEM,31,222002,1
DS,61,574100,0
NPP,37,504102,0
DEM,68,602103,1
DEM,41,577200,1
DS,46,920042,1
DS,29,240010,1
REP,65,431002,1
DEM,68,271902,1
DEM,27,240300,0
DEM,69,555104,1
NPP,21,203100,0
DEM,31,106642,1
DEM,67,216300,0
DEM,73,181500,1
DEM,58,207302,0
REP,52,576700,1
DEM,39,192300,0
REP,28,480600,1
DS,38,530500,1
REP,58,310601,1
REP,61,132900,1
DEM,64,405201,0
DEM,61,601212,1
REP,25,408005,1
DEM,74,800408,1
NPP,20,137103,0
DEM,56,236100,1
DS,46,901009,1
DEM,46,576904,1
DEM,27,542900,1
GRN,37,534900,1
DEM,66,552200,1
DS,25,406412,1
DS,76,481800,1
