"ID","X","Y_Z_0","Y_Z_1"
"00275",0,0,1
"00276",0,0,1
"00277",0,1,1
"00278",0,0,1
"00279",0,1,0
"00280",0,1,1
"00281",0,1,0
"00282",0,1,0
"00283",0,0,1
"00284",0,1,1
"00285",0,0,1
"00286",0,1,1
"00287",0,0,1
"00288",0,1,1
"00289",0,1,1
"00290",0,1,1
"00291",0,1,1
"00292",1,0,0
"00293",0,1,1
"00294",0,1,1
"00295",0,1,0
"00296",0,1,1
"00297",0,0,1
"00298",1,0,0
"00299",0,0,1
"00300",0,1,0
"00301",0,0,1
"00302",1,0,0
"00303",1,1,0
"00304",0,0,0
"00305",0,1,1
"00306",0,1,1
"00307",0,0,0
"00308",0,1,1
"00309",1,0,0
"00310",1,0,0
"00311",0,1,1
"00312",0,0,1
"00313",0,1,0
"00314",0,1,1
"00315",0,1,1
"00316",0,1,0
"00317",0,0,1
"00318",0,1,1
"00319",1,0,0
"00320",0,1,0
"00321",0,1,1
"00322",0,1,1
"00323",0,1,1
"00324",0,1,1
"00325",0,1,1
"00326",0,1,1
"00327",0,0,1
"00328",1,0,0
"00329",0,1,1
"00330",1,0,0
"00331",0,1,0
"00332",0,1,1
"00333",0,0,1
"00334",0,1,1
"00335",0,1,1
"00336",0,1,1
"00337",1,0,0
"00338",0,0,1
"00339",0,0,1
"00340",0,0,0
"00341",0,0,1
"00342",0,1,0
"00343",1,0,1
"00344",0,1,1
"00345",0,1,1
"00346",0,1,1
"00347",0,1,1
"00348",0,1,1
"00349",0,0,1
"00350",0,1,0
"00351",0,1,1
"00352",0,1,1
"00353",0,1,1
"00354",0,1,1
"00355",1,1,0
"00356",1,0,0
"00357",1,0,1
"00358",0,1,1
"00359",1,0,0
"00360",0,0,1
"00361",0,1,0
"00362",0,1,1
"00363",1,0,0
"00364",0,1,1
"00365",0,0,1
"00366",0,0,1
"00367",1,1,0
"00368",1,1,0
"00369",0,1,1
"00370",1,0,0
"00371",0,1,1
"00372",0,1,1
"00373",1,0,0
"00374",1,0,0
"00375",1,0,0
"00376",0,0,1
"00377",0,1,1
"00378",1,0,0
"00379",0,1,1
"00380",0,1,0
"00381",0,0,0
"00382",1,1,0
"00383",0,1,1
"00384",0,1,1
"00385",1,0,1
"00386",0,1,1
"00387",0,1,1
"00388",1,0,0
"00389",0,0,1
"00390",0,0,1
"00391",0,1,1
"00392",0,1,1
"00393",0,1,0
"00394",1,1,0
"00395",0,1,0
"00396",0,0,1
"00397",0,1,1
"00398",0,1,1
"00399",0,0,1
"00400",1,1,0
"00401",0,1,1
"00402",0,1,1
"00403",0,1,0
"00404",1,0,0
"00405",1,1,0
"00406",0,0,1
"00407",0,0,1
"00408",0,0,1
"00409",0,0,1
"00410",0,0,1
"00411",0,0,1
"00412",1,0,0
"00413",0,1,1
"00414",0,1,1
"00415",0,1,1
"00416",0,1,1
"00417",1,1,1
"00418",0,1,1
"00419",0,0,1
"00420",1,0,0
"00421",0,0,0
"00422",0,1,1
"00423",0,0,1
"00424",0,1,1
"00425",0,0,1
"00426",0,1,1
"00427",0,0,1
"00428",0,1,1
"00429",0,1,1
"00430",0,1,1
"00431",0,0,1
"00432",1,0,1
"00433",0,1,1
"00434",0,1,0
"00435",0,0,1
"00436",1,0,0
"00437",0,1,1
"00438",0,1,1
"00439",1,0,0
"00440",0,1,1
"00441",0,0,1
"00442",0,1,1
"00443",0,1,1
"00444",0,1,0
"00445",0,1,1
"00446",0,1,1
"00447",1,0,0
"00448",0,1,1
"00449",0,1,1
"00450",0,1,1
"00451",0,1,1
"00452",0,0,1
"00453",0,1,1
"00454",0,1,0
"00455",1,0,0
"00456",0,1,1
"00457",0,1,1
"00458",0,1,1
"00459",1,0,0
"00460",0,0,1
"00461",1,0,0
"00462",0,1,1
"00463",0,1,1
"00464",1,0,0
"00465",1,1,0
"00466",0,1,0
"00467",0,0,1
"00468",1,0,0
"00469",1,0,0
"00470",0,0,1
"00471",0,0,1
"00472",0,1,1
"00473",0,1,1
"00474",1,1,0
"00475",0,1,1
"00476",0,1,0
"00477",0,1,1
"00478",0,1,1
"00479",0,1,1
"00480",1,0,1
"00481",0,0,1
"00482",0,1,1
"00483",1,1,0
"00484",0,1,1
"00485",0,1,1
"00486",0,1,0
"00487",0,0,1
"00488",0,0,1
"00489",0,1,0
"00490",0,1,1
"00491",0,0,0
"00492",0,0,1
"00493",0,1,1
"00494",0,0,1
"00495",0,1,1
"00496",0,0,0
"00497",0,0,0
"00498",0,0,1
"00499",0,1,1
"00500",0,1,1
"00501",0,1,1
"00502",0,0,1
"00503",0,0,1
"00504",0,1,1
"00505",0,1,0
"00506",0,1,1
"00507",0,1,1
"00508",0,1,0
"00509",0,0,0
"00510",0,0,1
"00511",0,1,1
"00512",0,0,1
"00513",0,0,1
"00514",0,1,1
"00515",0,1,0
"00516",0,1,1
"00517",0,0,1
"00518",0,1,1
"00519",0,0,1
"00520",0,0,0
"00521",1,0,0
"00522",0,1,0
"00523",0,1,1
"00524",0,1,1
"00525",0,1,0
"00526",1,0,1
"00527",0,0,1
"00528",1,0,0
"00529",0,1,1
"00530",0,0,0
"00531",1,0,1
"00532",1,0,0
"00533",0,1,1
"00534",0,1,0
"00535",0,0,0
"00536",1,0,0
"00537",0,0,1
"00538",0,1,0
"00539",0,0,1
"00540",1,1,0
"00541",1,0,0
"00542",0,1,1
"00543",0,1,1
"00544",0,1,1
"00545",0,0,1
"00546",0,1,1
"00547",0,0,1
"00548",0,1,1
"00549",0,1,1
"00550",1,0,0
"00551",0,1,1
"00552",1,1,0
"00553",0,1,1
"00554",0,1,1
"00555",0,1,1
"00556",0,0,1
"00557",0,0,1
"00558",1,0,0
"00559",0,1,1
"00560",1,0,0
"00561",0,0,1
"00562",0,1,0
"00563",0,1,1
"00564",0,1,1
"00565",0,1,0
"00566",1,1,1
"00567",0,1,1
"00568",0,0,1
"00569",0,1,1
"00570",0,1,0
"00571",0,1,0
"00572",0,1,1
"00573",0,1,1
"00574",0,0,1
"00575",0,1,1
"00576",1,0,0
"00577",0,1,1
"00578",0,1,0
"00579",0,1,1
"00580",1,1,1
"00581",0,0,1
"00582",0,0,1
"00583",0,1,1
"00584",0,1,0
"00585",1,1,1
"00586",0,1,0
"00587",0,0,1
"00588",0,1,0
"00589",0,1,1
"00590",0,1,1
"00591",0,1,1
"00592",0,1,1
"00593",1,1,1
"00594",0,0,1
"00595",1,0,0
"00596",0,1,1
"00597",0,1,0
"00598",0,1,1
"00599",0,1,0
"00600",0,0,1
"00601",1,0,1
"00602",1,1,0
"00603",0,0,1
"00604",0,0,1
"00605",1,0,1
"00606",0,1,1
"00607",1,0,0
"00608",0,1,1
"00609",0,0,0
"00610",1,1,0
"00611",1,1,0
"00612",0,0,1
"00613",0,1,1
"00614",1,0,0
"00615",1,0,0
"00616",0,1,1
"00617",0,1,1
"00618",0,1,1
"00619",1,1,0
"00620",0,1,1
"00621",0,1,1
"00622",0,1,1
"00623",0,1,1
"00624",0,0,1
"00625",0,0,1
"00626",0,0,1
"00627",1,0,0
"00628",1,1,0
"00629",0,0,1
"00630",1,0,0
"00631",0,1,1
"00632",0,0,0
"00633",0,1,0
"00634",0,1,1
"00635",0,1,1
"00636",0,1,1
"00637",0,1,0
"00638",0,1,0
"00639",0,1,1
"00640",1,1,0
"00641",0,1,1
"00642",1,0,0
"00643",1,0,0
"00644",0,1,0
"00645",1,0,0
"00646",0,1,1
"00647",1,0,1
"00648",0,1,1
"00649",0,1,1
"00650",0,1,0
"00651",0,0,1
"00652",0,0,0
"00653",0,0,0
"00654",0,1,1
"00655",0,1,1
"00656",0,1,1
"00657",0,0,1
"00658",0,0,1
"00659",0,1,1
"00660",0,0,1
"00661",0,0,1
"00662",1,0,0
"00663",0,1,1
"00664",0,1,0
"00665",0,1,1
"00666",0,1,0
"00667",0,1,1
"00668",0,0,0
"00669",0,1,1
"00670",1,0,0
"00671",0,1,1
"00672",0,1,1
"00673",0,1,1
"00674",0,1,1
"00675",0,1,0
"00676",0,1,1
"00677",0,1,1
"00678",0,1,1
"00679",1,0,0
"00680",1,0,0
"00681",0,0,1
"00682",0,1,1
"00683",0,1,1
"00684",0,1,1
"00685",0,1,1
"00686",0,1,1
"00687",0,1,1
"00688",0,1,1
"00689",0,0,1
"00690",0,0,0
"00691",1,1,1
"00692",1,1,1
"00693",0,1,1
"00694",0,1,0
"00695",0,0,1
"00696",0,0,0
"00697",1,0,0
"00698",0,0,1
"00699",0,0,0
"00700",0,1,1
"00701",0,1,1
"00702",1,1,1
"00703",0,1,0
"00704",0,1,1
"00705",0,0,1
"00706",0,0,1
"00707",0,0,1
"00708",1,0,0
"00709",0,0,1
"00710",0,1,0
"00711",0,1,1
"00712",0,1,1
"00713",0,1,0
"00714",0,1,1
"00715",0,1,1
"00716",0,1,1
"00717",1,1,1
"00718",0,1,1
"00719",1,0,0
"00720",1,1,0
"00721",0,1,1
"00722",1,1,0
"00723",0,1,1
"00724",1,1,0
"00725",1,0,0
"00726",0,0,1
"00727",0,1,1
"00728",0,1,1
"00729",1,0,0
"00730",1,0,0
"00731",0,1,0
"00732",0,1,0
"00733",0,1,1
"00734",0,0,1
"00735",0,0,1
"00736",0,1,1
"00737",0,1,1
"00738",0,1,0
"00739",1,0,0
"00740",0,0,1
"00741",0,0,1
"00742",1,0,0
"00743",0,0,1
"00744",0,1,1
"00745",0,0,1
"00746",0,1,0
"00747",1,0,0
"00748",0,1,1
"00749",0,0,0
"00750",0,1,1
"00751",0,1,1
"00752",0,1,0
"00753",0,1,1
"00754",0,1,0
"00755",0,1,1
"00756",0,1,1
"00757",1,1,1
"00758",0,0,1
"00759",0,0,1
"00760",0,1,1
"00761",0,1,1
"00762",0,0,0
"00763",0,0,1
"00764",0,0,0
"00765",0,1,0
"00766",1,1,0
"00767",0,1,1
"00768",0,0,1
"00769",0,0,1
"00770",0,1,1
"00771",0,1,1
"00772",0,0,1
"00773",0,1,0
"00774",0,1,1
"00775",0,1,1
"00776",0,1,1
"00777",0,1,1
"00778",0,1,1
"00779",0,0,1
"00780",0,1,1
"00781",0,1,1
"00782",0,1,1
"00783",0,0,1
"00784",0,1,1
"00785",1,1,1
"00786",0,1,0
"00787",1,1,0
"00788",0,0,1
"00789",1,1,0
"00790",1,0,0
"00791",0,0,1
"00792",0,1,1
"00793",0,1,1
"00794",0,1,1
"00795",0,1,1
"00796",1,0,0
"00797",1,0,0
"00798",0,1,0
"00799",0,0,1
"00800",0,1,1
"00801",0,1,1
"00802",0,0,1
"00803",1,1,1
"00804",0,1,1
"00805",0,1,1
"00806",0,1,0
"00807",0,1,1
"00808",0,0,1
"00809",0,1,0
"00810",0,1,1
"00811",0,1,1
"00812",0,0,0
"00813",0,0,1
"00814",0,1,1
"00815",0,1,1
"00816",0,1,1
"00817",1,0,1
"00818",0,0,0
"00819",0,1,1
"00820",0,1,1
"00821",0,1,1
"00822",1,1,0
"00823",0,1,1
"00824",0,0,0
"00825",0,0,1
"00826",0,1,1
"00827",0,1,1
"00828",0,1,0
"00829",1,1,0
"00830",1,0,0
"00831",1,0,0
"00832",1,0,0
"00833",0,1,1
"00834",0,1,1
"00835",0,0,1
"00836",0,1,1
"00837",0,0,1
"00838",0,0,1
"00839",0,1,1
"00840",0,0,1
"00841",0,0,1
"00842",0,0,1
"00843",0,1,1
"00844",0,1,1
"00845",0,0,1
"00846",0,1,1
"00847",1,1,0
"00848",0,1,1
"00849",0,1,0
"00850",0,1,1
"00851",0,0,0
"00852",0,1,0
"00853",1,1,0
"00854",0,1,1
"00855",0,1,1
"00856",0,1,0
"00857",0,0,1
"00858",0,1,1
"00859",0,0,1
"00860",0,1,1
"00861",0,1,1
"00862",1,1,0
"00863",0,1,1
"00864",0,1,1
"00865",0,0,1
"00866",0,1,0
"00867",0,1,1
"00868",1,0,0
"00869",0,1,1
"00870",0,0,1
"00871",0,1,1
"00872",0,0,1
"00873",0,0,1
"00874",0,1,1
"00875",0,1,1
"00876",1,0,0
"00877",0,1,0
"00878",1,1,0
"00879",0,1,0
"00880",0,1,0
"00881",0,1,0
"00882",1,0,0
"00883",0,1,1
"00884",0,0,1
"00885",0,1,1
"00886",1,1,0
"00887",0,1,1
"00888",0,1,1
"00889",0,1,1
"00890",0,1,1
"00891",0,0,1
"00892",0,1,1
"00893",0,1,1
"00894",0,1,0
"00895",0,1,1
"00896",0,1,0
"00897",1,1,0
"00898",0,0,0
"00899",0,1,1
"00900",0,0,0
"00901",0,1,1
"00902",0,1,0
"00903",0,1,1
"00904",0,1,1
"00905",0,1,1
"00906",0,1,1
"00907",1,0,0
"00908",0,0,1
"00909",0,1,1
"00910",0,1,1
"00911",0,1,1
"00912",0,1,1
"00913",0,0,1
"00914",1,1,0
"00915",0,1,1
"00916",0,0,1
"00917",0,0,1
"00918",1,0,0
"00919",0,0,0
"00920",0,0,1
"00921",0,1,0
"00922",0,0,1
"00923",0,1,1
"00924",0,0,1
"00925",1,0,0
"00926",0,0,1
"00927",1,1,1
"00928",0,1,0
"00929",0,0,1
"00930",1,0,0
"00931",1,0,0
"00932",0,1,1
"00933",0,1,1
"00934",0,1,1
"00935",0,1,1
"00936",0,1,1
"00937",0,1,1
"00938",0,1,0
"00939",1,1,0
"00940",0,1,1
"00941",0,1,1
"00942",0,1,1
"00943",0,0,0
"00944",0,0,1
"00945",0,1,1
"00946",1,0,1
"00947",0,1,1
"00948",1,0,1
"00949",0,1,0
"00950",0,1,1
"00951",0,1,1
"00952",1,0,1
"00953",0,1,1
"00954",0,0,1
"00955",1,0,0
"00956",0,1,1
"00957",0,1,0
"00958",0,0,1
"00959",0,0,1
"00960",0,0,1
"00961",0,1,1
"00962",0,0,1
"00963",0,0,1
"00964",0,1,1
"00965",0,1,1
"00966",0,0,1
"00967",0,1,1
"00968",0,1,1
"00969",0,1,1
"00970",0,1,1
"00971",0,0,1
"00972",0,1,0
"00973",1,1,0
"00974",1,0,0
"00975",1,0,1
"00976",0,0,1
"00977",0,1,1
"00978",0,0,1
"00979",0,1,1
"00980",0,1,1
"00981",1,0,0
"00982",0,0,1
"00983",0,1,1
"00984",0,1,1
"00985",0,1,1
"00986",1,0,0
"00987",0,0,1
"00988",1,0,1
"00989",1,0,0
"00990",1,0,0
"00991",0,1,1
"00992",0,0,1
"00993",0,1,1
"00994",0,0,1
"00995",0,1,1
"00996",0,1,1
"00997",0,0,0
"00998",0,1,1
"00999",0,1,1
"01000",0,1,1
"01001",1,1,0
"01002",0,1,1
"01003",0,0,1
"01004",0,1,0
"01005",1,0,0
"01006",0,0,1
"01007",1,0,0
"01008",1,0,0
"01009",0,1,1
"01010",0,1,1
"01011",1,0,0
"01012",0,1,1
"01013",0,1,1
"01014",0,1,1
"01015",1,0,0
"01016",0,0,1
"01017",1,0,0
"01018",0,1,1
"01019",0,1,0
"01020",0,1,1
"01021",1,0,1
"01022",0,1,1
"01023",0,1,1
"01024",1,0,1
"01025",0,1,1
"01026",0,1,1
"01027",0,1,1
"01028",0,0,1
"01029",0,0,0
"01030",0,1,1
"01031",0,1,1
"01032",1,0,0
"01033",0,1,1
"01034",1,0,1
"01035",0,0,1
"01036",1,0,0
"01037",0,1,0
"01038",0,0,1
"01039",0,0,1
"01040",0,1,1
"01041",0,1,1
"01042",0,0,1
"01043",0,0,1
"01044",0,0,1
"01045",0,1,1
"01046",1,0,0
"01047",0,1,1
"01048",0,1,1
"01049",1,1,0
"01050",0,1,1
"01051",0,1,1
"01052",0,0,1
"01053",1,0,0
"01054",1,1,1
"01055",1,1,1
"01056",0,1,0
"01057",0,0,1
"01058",1,1,0
"01059",0,1,0
"01060",0,1,1
"01061",0,1,0
"01062",0,1,1
"01063",1,0,1
"01064",0,0,0
"01065",0,0,1
"01066",0,1,1
"01067",0,1,1
"01068",0,1,1
"01069",1,1,0
"01070",0,0,1
"01071",0,1,1
"01072",0,1,1
"01073",0,1,1
"01074",1,0,0
"01075",0,1,1
"01076",0,1,1
"01077",1,1,0
"01078",0,0,1
"01079",0,1,0
"01080",0,0,0
"01081",0,0,1
"01082",0,1,1
"01083",0,1,1
"01084",0,1,1
"01085",0,0,1
"01086",0,0,1
"01087",0,0,0
"01088",0,0,1
"01089",0,1,1
"01090",0,0,0
"01091",0,1,0
"01092",0,1,1
"01093",0,0,1
"01094",0,0,1
"01095",0,0,1
"01096",0,1,1
"01097",0,1,1
"01098",0,0,1
"01099",1,0,0
"01100",0,0,1
"01101",0,0,0
"01102",0,1,0
"01103",0,1,1
"01104",0,0,1
"01105",1,0,0
"01106",0,1,0
"01107",0,0,1
"01108",0,1,1
"01109",0,0,1
"01110",0,0,1
"01111",0,1,1
"01112",0,1,1
"01113",0,0,1
"01114",0,1,1
"01115",1,1,0
"01116",0,1,1
"01117",0,0,1
"01118",0,1,1
"01119",0,0,1
"01120",0,1,1
"01121",0,1,1
"01122",1,1,0
"01123",0,1,1
"01124",0,1,0
"01125",1,0,0
"01126",0,1,1
"01127",0,1,0
"01128",0,0,1
"01129",0,1,1
"01130",0,0,0
"01131",0,1,1
"01132",0,1,1
"01133",0,1,0
"01134",0,1,0
"01135",0,1,1
"01136",0,1,0
"01137",1,1,0
"01138",0,0,1
"01139",1,0,0
"01140",1,0,0
"01141",0,1,1
"01142",0,0,1
"01143",0,0,1
"01144",0,1,1
"01145",0,0,1
"01146",0,1,1
"01147",0,1,0
"01148",0,0,1
"01149",0,0,1
"01150",0,1,0
"01151",0,1,1
"01152",1,0,0
"01153",0,0,1
"01154",0,1,1
"01155",0,1,1
"01156",0,1,1
"01157",0,1,1
"01158",0,1,1
"01159",0,0,1
"01160",0,1,1
"01161",0,0,1
"01162",0,1,1
"01163",0,0,1
"01164",0,1,1
"01165",0,1,1
"01166",1,0,0
"01167",0,0,0
"01168",0,1,1
"01169",1,1,0
"01170",0,0,1
"01171",1,0,1
"01172",0,1,1
"01173",0,1,1
"01174",1,0,0
"01175",0,1,0
"01176",0,1,1
"01177",1,0,0
"01178",1,0,0
"01179",0,0,0
"01180",0,0,1
"01181",0,1,1
"01182",0,0,1
"01183",1,0,0
"01184",0,1,1
"01185",0,1,1
"01186",1,0,0
"01187",0,1,1
"01188",1,0,0
"01189",0,0,1
"01190",1,1,0
"01191",0,1,1
"01192",0,1,1
"01193",0,1,1
"01194",0,1,1
"01195",0,0,0
"01196",1,0,0
"01197",0,0,1
"01198",1,0,0
"01199",0,1,1
"01200",0,1,1
"01201",1,0,0
"01202",0,1,0
"01203",0,1,1
"01204",0,1,0
"01205",0,0,1
"01206",0,0,1
"01207",0,1,1
"01208",0,1,1
"01209",0,1,1
"01210",0,0,1
"01211",0,1,1
"01212",0,1,1
"01213",0,1,1
"01214",0,0,1
"01215",0,1,1
"01216",0,0,1
"01217",1,0,1
"01218",0,0,1
"01219",0,1,1
"01220",0,1,1
"01221",0,1,1
"01222",0,1,1
"01223",0,1,0
"01224",1,0,0
"01225",0,0,1
"01226",0,1,0
"01227",0,1,1
"01228",1,0,0
"01229",0,1,1
"01230",0,1,1
"01231",1,1,0
"01232",0,1,0
"01233",0,1,1
"01234",0,1,1
"01235",1,0,0
"01236",1,0,0
"01237",1,0,0
"01238",0,1,1
"01239",0,1,1
"01240",0,1,1
"01241",0,1,1
"01242",0,0,1
"01243",0,0,1
"01244",0,0,1
"01245",0,1,1
"01246",0,1,1
"01247",1,0,0
"01248",0,1,1
"01249",1,0,0
"01250",0,1,1
"01251",0,0,0
"01252",0,1,1
"01253",0,1,0
"01254",0,0,1
"01255",0,1,1
"01256",0,0,1
"01257",0,1,1
"01258",0,1,1
"01259",0,1,0
"01260",0,1,0
"01261",0,1,1
"01262",0,1,1
"01263",0,1,1
"01264",0,1,1
"01265",0,1,1
"01266",0,0,1
"01267",0,1,1
"01268",0,1,1
"01269",0,1,1
"01270",1,0,0
"01271",1,0,0
"01272",0,0,1
"01273",0,1,1
"01274",0,1,1
"01275",0,1,0
"01276",1,1,0
"01277",1,0,0
"01278",0,0,1
"01279",0,0,1
"01280",0,1,1
"01281",0,0,1
"01282",0,0,1
"01283",0,1,0
"01284",0,1,1
"01285",0,1,0
"01286",0,0,1
"01287",0,0,0
"01288",0,1,1
"01289",0,1,1
"01290",0,1,0
"01291",0,1,0
"01292",0,1,1
"01293",1,1,0
"01294",0,0,1
"01295",0,1,1
"01296",0,0,1
"01297",1,0,0
"01298",0,0,0
"01299",0,1,1
"01300",0,1,1
"01301",0,0,1
"01302",1,0,0
"01303",0,1,0
"01304",0,1,0
"01305",0,1,1
"01306",0,1,0
"01307",0,1,1
"01308",1,0,1
"01309",1,0,0
"01310",0,1,1
"01311",1,0,1
"01312",0,0,1
"01313",0,1,1
"01314",0,1,1
"01315",0,0,1
"01316",0,0,1
"01317",0,0,0
"01318",0,1,0
"01319",0,1,0
"01320",0,1,1
"01321",0,0,1
"01322",1,0,1
"01323",1,0,0
"01324",1,0,0
"01325",0,1,1
"01326",0,0,1
"01327",0,1,1
"01328",0,0,1
"01329",0,1,1
"01330",0,1,1
"01331",0,0,1
"01332",0,1,0
"01333",0,0,1
"01334",1,0,0
"01335",0,1,1
"01336",0,1,1
"01337",0,1,1
"01338",0,1,1
"01339",0,1,1
"01340",0,1,1
"01341",0,1,1
"01342",0,1,1
"01343",0,1,1
"01344",0,1,1
"01345",0,1,0
"01346",0,0,1
"01347",0,0,1
"01348",0,1,1
"01349",0,1,1
"01350",0,1,1
"01351",0,1,1
"01352",0,0,1
"01353",0,0,1
"01354",0,1,1
"01355",0,1,1
"01356",1,1,0
"01357",0,1,1
"01358",0,1,1
"01359",0,1,0
"01360",0,0,1
"01361",0,0,1
"01362",0,1,0
"01363",0,1,1
"01364",0,1,0
"01365",0,1,0
"01366",1,0,0
"01367",0,0,1
"01368",0,1,1
"01369",0,1,1
"01370",0,1,1
"01371",0,1,1
"01372",0,0,1
"01373",0,1,1
"01374",0,1,1
"01375",0,1,1
"01376",1,1,0
"01377",1,0,1
"01378",0,1,0
"01379",0,1,1
"01380",1,0,1
"01381",0,0,0
"01382",0,1,1
"01383",0,1,0
"01384",0,0,1
"01385",0,1,1
"01386",0,0,1
"01387",0,0,1
"01388",0,1,1
"01389",1,1,0
"01390",0,1,1
"01391",0,1,1
"01392",0,1,1
"01393",0,1,0
"01394",0,0,1
"01395",0,1,1
